evaluation,mape
2.000000000000000000e+00,9.608788496504943044e-01
1.000000000000000000e+01,6.791074536709966747e-01
2.000000000000000000e+01,1.618522974667183367e-01
3.000000000000000000e+01,5.867367031415809259e-02
4.000000000000000000e+01,9.373392699698601671e-02
5.000000000000000000e+01,4.003968786102810040e-02
6.000000000000000000e+01,3.939660280782350532e-02
7.000000000000000000e+01,3.539854530497243273e-02
8.000000000000000000e+01,3.707309393141550863e-02
9.000000000000000000e+01,3.757004486701516488e-02
1.000000000000000000e+02,3.584192751990645381e-02
