evaluation,mape
2.000000000000000000e+00,9.966861753405900082e-01
1.000000000000000000e+01,8.178763627069116637e-01
2.000000000000000000e+01,3.889405031937077650e-01
3.000000000000000000e+01,1.867607869438487611e-01
4.000000000000000000e+01,2.005051595314170099e-01
5.000000000000000000e+01,1.710623037955482095e-01
6.000000000000000000e+01,1.484324344942576646e-01
7.000000000000000000e+01,1.448667563550720683e-01
8.000000000000000000e+01,1.504298998094586171e-01
9.000000000000000000e+01,1.493204243144506671e-01
1.000000000000000000e+02,1.317491727008750224e-01
