evaluation,mae
2.000000000000000000e+00,3.410530920982360925e+01
1.000000000000000000e+01,3.237040317535400646e+01
2.000000000000000000e+01,3.078519243240356573e+01
3.000000000000000000e+01,2.992384052276611328e+01
4.000000000000000000e+01,2.976353742599487262e+01
5.000000000000000000e+01,2.988253137588500863e+01
6.000000000000000000e+01,2.979079454421997042e+01
7.000000000000000000e+01,2.980075717926025547e+01
8.000000000000000000e+01,2.934922657012939595e+01
9.000000000000000000e+01,2.933195798873901339e+01
1.000000000000000000e+02,2.932530160903930749e+01
