evaluation,mae
2.000000000000000000e+00,3.000401229858398366e+01
1.000000000000000000e+01,2.859454626083374151e+01
2.000000000000000000e+01,2.532970117568969570e+01
3.000000000000000000e+01,2.474091175079345817e+01
4.000000000000000000e+01,2.345390882492065288e+01
5.000000000000000000e+01,2.157036121368408033e+01
6.000000000000000000e+01,2.142378170013427763e+01
7.000000000000000000e+01,2.127579662322997933e+01
8.000000000000000000e+01,2.117768707275390483e+01
9.000000000000000000e+01,2.114788173675536953e+01
1.000000000000000000e+02,2.112844032287597784e+01
