evaluation,mape
2.000000000000000000e+00,8.303477116789640400e-01
1.000000000000000000e+01,5.962426584751646663e-01
2.000000000000000000e+01,5.537947090515511483e-01
3.000000000000000000e+01,5.355160107180898521e-01
4.000000000000000000e+01,1.761977791135455051e-01
5.000000000000000000e+01,8.076342261623731256e-02
6.000000000000000000e+01,6.939199903076541387e-02
7.000000000000000000e+01,6.517852224330583644e-02
8.000000000000000000e+01,5.190034994687683922e-02
9.000000000000000000e+01,4.767115014962061692e-02
1.000000000000000000e+02,4.533744845337393109e-02
