evaluation,mape
2.000000000000000000e+00,7.670706429425565576e-01
1.000000000000000000e+01,6.280433016767161813e-01
2.000000000000000000e+01,5.824856927179897781e-01
3.000000000000000000e+01,5.784769695503462206e-01
4.000000000000000000e+01,2.687013975139693756e-01
5.000000000000000000e+01,2.180348456090800136e-01
6.000000000000000000e+01,1.811440648006684973e-01
7.000000000000000000e+01,7.656936385486998176e-02
8.000000000000000000e+01,7.186251628052565954e-02
9.000000000000000000e+01,6.695667879725153426e-02
1.000000000000000000e+02,4.993520493543444211e-02
