evaluation,mae
2.000000000000000000e+00,1.573203464746475211e+00
1.000000000000000000e+01,1.431032147407531818e+00
2.000000000000000000e+01,1.296645283699035645e+00
3.000000000000000000e+01,1.438821980953216562e+00
4.000000000000000000e+01,1.315023090839386066e+00
5.000000000000000000e+01,1.201816844940185591e+00
6.000000000000000000e+01,6.535985231399535911e-01
7.000000000000000000e+01,5.970280432701110529e-01
8.000000000000000000e+01,3.477286982536316184e-01
9.000000000000000000e+01,3.449226570129394487e-01
1.000000000000000000e+02,3.418271040916442960e-01
