evaluation,mape
2.000000000000000000e+00,6.432356962617781226e-01
1.000000000000000000e+01,6.034238285516476674e-01
2.000000000000000000e+01,5.787717953414412975e-01
3.000000000000000000e+01,5.729362148497154639e-01
4.000000000000000000e+01,5.726558941707908801e-01
5.000000000000000000e+01,2.444345219010000125e-01
6.000000000000000000e+01,8.653443269288434159e-02
7.000000000000000000e+01,8.432372386281380972e-02
8.000000000000000000e+01,7.014450262584856488e-02
9.000000000000000000e+01,6.367067881371502036e-02
1.000000000000000000e+02,5.349061065197584924e-02
