evaluation,mae
2.000000000000000000e+00,2.193593647722154927e+00
1.000000000000000000e+01,2.068364071249961800e+00
2.000000000000000000e+01,1.541635093688964897e+00
3.000000000000000000e+01,1.831786544322967503e+00
4.000000000000000000e+01,1.818156129121780484e+00
5.000000000000000000e+01,9.622746562957763539e-01
6.000000000000000000e+01,6.032526302337646307e-01
7.000000000000000000e+01,1.915355968475341841e-01
8.000000000000000000e+01,1.347933053970336859e-01
9.000000000000000000e+01,1.271373796463012573e-01
1.000000000000000000e+02,1.254137992858886663e-01
