environmental,controllable,controllable,controllable,controllable,controllable,output
8.565417796758726388e-01,4.132304318157956624e-01,9.678006581975303613e-01,3.563997507659356634e-01,5.282658958583672515e-01,7.106313734593004972e-01,2.159695026082461555e-01
8.640116453170776367e-01,8.089367747306823730e-01,1.847630366683006287e-02,9.847529530525207520e-01,1.688343882560729980e-01,7.995350360870361328e-01,8.072138298302888870e-04
8.555298447608947754e-01,5.638614892959594727e-01,8.559490442276000977e-01,3.070336580276489258e-01,3.891320228576660156e-01,6.214612722396850586e-01,3.539824485778808594e-01
8.396201729774475098e-01,8.145431280136108398e-01,6.713672876358032227e-01,2.242670059204101562e-01,1.963188946247100830e-01,4.262643456459045410e-01,9.377248585224151611e-02
8.769240975379943848e-01,1.046520918607711792e-01,8.600088953971862793e-01,9.236528724431991577e-02,7.440693378448486328e-01,3.259529471397399902e-01,6.185404956340789795e-03
8.905819654464721680e-01,7.604473233222961426e-01,3.929925560951232910e-01,9.331866502761840820e-01,7.015264630317687988e-01,3.849095404148101807e-01,2.661657985299825668e-03
9.222818613052368164e-01,7.910032272338867188e-01,9.993647336959838867e-01,8.740323781967163086e-01,2.467362135648727417e-01,4.551112353801727295e-01,5.166684277355670929e-03
9.441199302673339844e-01,8.759575486183166504e-01,5.844690203666687012e-01,4.126251339912414551e-01,4.967125952243804932e-01,1.576325595378875732e-01,1.953972503542900085e-02
9.798437952995300293e-01,4.324512481689453125e-01,1.310017257928848267e-01,3.561385869979858398e-01,5.057741999626159668e-01,3.022348582744598389e-01,6.606752425432205200e-02
1.000000000000000000e+00,7.442615628242492676e-01,8.706792593002319336e-01,1.813164353370666504e-01,5.617527961730957031e-01,6.139301061630249023e-01,3.519349172711372375e-02
9.823597073554992676e-01,3.528639674186706543e-01,6.189799308776855469e-02,4.441259503364562988e-01,1.721562743186950684e-01,2.861406207084655762e-01,7.755158841609954834e-02
9.565564990043640137e-01,4.103018343448638916e-01,2.713071405887603760e-01,8.375641107559204102e-01,8.720930218696594238e-01,8.227557539939880371e-01,1.267370826099067926e-04
9.117336869239807129e-01,5.465303063392639160e-01,3.257716596126556396e-01,2.920677363872528076e-01,7.062974572181701660e-01,9.619292616844177246e-01,1.453917566686868668e-02
8.937727212905883789e-01,1.262464225292205811e-01,9.118465781211853027e-01,8.317600935697555542e-02,2.993350625038146973e-01,9.900515079498291016e-01,4.667543172836303711e-01
8.617060184478759766e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.937424220078802495e-14,3.525891602039337158e-01,1.000000000000000000e+00,1.492272764444351196e-01
