environmental,controllable,controllable,controllable,controllable,controllable,output
6.329045891761779785e-01,1.464786827564239502e-01,3.795303404331207275e-01,2.871589958667755127e-01,3.051905035972595215e-01,6.649599075317382812e-01,-1.886876225471496582e+00
9.715030789375305176e-01,4.071008265018463135e-01,8.273836970329284668e-01,2.989980876445770264e-01,1.267133355140686035e-01,9.863209128379821777e-01,-1.237802982330322266e+00
5.587078332901000977e-01,1.467465460300445557e-01,3.942537009716033936e-01,2.862478792667388916e-01,3.056737482547760010e-01,6.642564535140991211e-01,-2.233934640884399414e+00
5.087993741035461426e-01,8.824406862258911133e-01,8.489696979522705078e-01,5.739842057228088379e-01,1.394788920879364014e-01,3.849910944700241089e-02,-2.664251089096069336e+00
7.930141091346740723e-01,3.960602879524230957e-01,8.213050365447998047e-01,2.922546267509460449e-01,1.609977930784225464e-01,9.650372266769409180e-01,-1.345816493034362793e+00
8.832986354827880859e-01,4.030304849147796631e-01,8.252186179161071777e-01,2.950943410396575928e-01,1.405721902847290039e-01,9.784659147262573242e-01,-1.283005118370056152e+00
8.539727926254272461e-01,4.012096226215362549e-01,8.242226839065551758e-01,2.940390706062316895e-01,1.464388668537139893e-01,9.748724102973937988e-01,-1.301270246505737305e+00
5.988295078277587891e-01,1.465750485658645630e-01,3.855221271514892578e-01,2.868043482303619385e-01,3.053626120090484619e-01,6.646789908409118652e-01,-2.046404838562011719e+00
9.137298464775085449e-01,4.046968817710876465e-01,8.261064291000366211e-01,2.963098287582397461e-01,1.352279335260391235e-01,9.815991520881652832e-01,-1.265888452529907227e+00
4.533774554729461670e-01,8.824635148048400879e-01,8.491154909133911133e-01,5.740035772323608398e-01,1.377518624067306519e-01,3.848021849989891052e-02,-3.076579093933105469e+00
5.270207524299621582e-01,8.824208974838256836e-01,8.488061428070068359e-01,5.739663243293762207e-01,1.408377140760421753e-01,3.851679712533950806e-02,-2.483887195587158203e+00
7.301818728446960449e-01,1.464519351720809937e-01,3.687900602817535400e-01,2.878281772136688232e-01,3.047950565814971924e-01,6.655650734901428223e-01,-1.445374011993408203e+00
6.896565556526184082e-01,1.464208364486694336e-01,3.722245097160339355e-01,2.876346111297607422e-01,3.049055039882659912e-01,6.653516888618469238e-01,-1.625440597534179688e+00
5.391785502433776855e-01,8.824436664581298828e-01,8.482055664062500000e-01,5.739499926567077637e-01,1.422286331653594971e-01,3.853809833526611328e-02,-2.355567455291748047e+00
9.306671619415283203e-01,4.055003225803375244e-01,8.265150785446166992e-01,2.969906032085418701e-01,1.325208991765975952e-01,9.831261038780212402e-01,-1.257093071937561035e+00
9.044566154479980469e-01,4.042439460754394531e-01,8.258613944053649902e-01,2.959772050380706787e-01,1.368192881345748901e-01,9.806767702102661133e-01,-1.270919322967529297e+00
5.860487818717956543e-01,1.466266065835952759e-01,3.881373405456542969e-01,2.866431772708892822e-01,3.054604828357696533e-01,6.645439863204956055e-01,-2.106299638748168945e+00
4.801610708236694336e-01,8.824419379234313965e-01,8.493398427963256836e-01,5.740142464637756348e-01,1.384012550115585327e-01,3.848581016063690186e-02,-2.907534837722778320e+00
8.221386671066284180e-01,3.987821042537689209e-01,8.228517770767211914e-01,2.930496037006378174e-01,1.536074727773666382e-01,9.701675176620483398e-01,-1.323326349258422852e+00
8.335080742835998535e-01,3.997235596179962158e-01,8.233714103698730469e-01,2.933878898620605469e-01,1.509409397840499878e-01,9.719482064247131348e-01,-1.315163850784301758e+00
7.676977515220642090e-01,3.932230174541473389e-01,8.196913003921508789e-01,2.915970981121063232e-01,1.682142913341522217e-01,9.596436023712158203e-01,-1.367411017417907715e+00
6.715851426124572754e-01,1.464265882968902588e-01,3.741742968559265137e-01,2.875076830387115479e-01,3.049907684326171875e-01,6.652218103408813477e-01,-1.707769155502319336e+00
7.493387460708618164e-01,3.907037675380706787e-01,8.181810975074768066e-01,2.912074625492095947e-01,1.739757657051086426e-01,9.551199674606323242e-01,-1.384412407875061035e+00
7.147516012191772461e-01,1.464528590440750122e-01,3.699048161506652832e-01,2.877373397350311279e-01,3.048399388790130615e-01,6.654737591743469238e-01,-1.513095378875732422e+00
6.547723412513732910e-01,1.464458703994750977e-01,3.763233125209808350e-01,2.873767316341400146e-01,3.050639629364013672e-01,6.651114225387573242e-01,-1.785219430923461914e+00
