environmental,controllable,controllable,controllable,controllable,controllable,output
5.053035877370142259e-01,2.666655202159822213e-01,9.670346580668278680e-01,3.716942701915425529e-01,8.510612535383618171e-01,4.612089591555799117e-01,1.945858937470550457e-02
4.817542433738708496e-01,5.923215746879577637e-01,3.207871317863464355e-01,2.672145962715148926e-01,8.908772468566894531e-01,4.430708587169647217e-01,1.002411842346191406e-01
5.106301307678222656e-01,8.987783789634704590e-01,8.042949251830577850e-03,7.590216994285583496e-01,1.324096322059631348e-01,8.566613495349884033e-02,1.751827359199523926e+00
4.986442029476165771e-01,2.579194307327270508e-01,1.501929870749886005e-17,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.983981441706418991e-03
4.950625300407409668e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.638160277158021927e-03
4.458340108394622803e-01,9.449357986450195312e-01,0.000000000000000000e+00,9.835883378982543945e-01,1.076047271490097046e-01,2.410055069324902756e-17,5.325571894645690918e-01
4.759607911109924316e-01,6.433135867118835449e-01,3.838523626327514648e-01,6.406273841857910156e-01,1.728129237890243530e-01,6.196535700087838373e-17,1.725540280342102051e+00
4.842226505279541016e-01,1.000000000000000000e+00,8.671288349471815854e-19,6.850342750549316406e-01,7.755994796752929688e-02,3.213532865047454834e-01,7.181949615478515625e-01
5.263171792030334473e-01,8.639611005783081055e-01,9.084633202292025089e-04,6.901333332061767578e-01,1.451793760061264038e-01,6.044085323810577393e-02,2.076256275177001953e+00
5.260034799575805664e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.333359479904174805e-01,1.262113749980926514e-01,8.932669460773468018e-02,2.002275466918945312e+00
5.454210042953491211e-01,1.000000000000000000e+00,7.061834931373596191e-01,5.764309841791117375e-18,1.879995316267013550e-01,0.000000000000000000e+00,7.587996125221252441e-02
5.689395070075988770e-01,1.465083772108201430e-16,1.000000000000000000e+00,6.728082895278930664e-01,1.000000000000000000e+00,7.313289493322372437e-02,3.386912634596228600e-03
5.965472459793090820e-01,8.059633374214172363e-01,7.209791243076324463e-02,6.605387926101684570e-01,1.558026373386383057e-01,2.406118996441364288e-02,1.465914607048034668e+00
6.371731162071228027e-01,9.492979049682617188e-01,8.990810066461563110e-02,7.229841351509094238e-01,3.235771358013153076e-01,2.316719144582748413e-01,5.701767206192016602e-01
6.620103716850280762e-01,2.863518595695495605e-01,2.546170651912689209e-01,9.319003820419311523e-01,3.809283301234245300e-02,2.291961759328842163e-01,1.160361431539058685e-02
6.797726154327392578e-01,7.623902559280395508e-01,3.953980207443237305e-01,3.189795315265655518e-01,3.342899382114410400e-01,1.280665397644042969e-02,4.144294261932373047e-01
6.858336925506591797e-01,9.034979939460754395e-01,2.972819507122039795e-01,9.130667448043823242e-01,5.989179015159606934e-01,9.668986201286315918e-01,6.467031198553740978e-04
7.190567851066589355e-01,1.985291093587875366e-01,2.709918022155761719e-01,1.460523307323455811e-01,2.114600501954555511e-02,5.644305348396301270e-01,2.818059623241424561e-01
7.284816503524780273e-01,3.731419444084167480e-01,2.389845065772533417e-02,9.297832101583480835e-02,9.716603159904479980e-01,9.129406809806823730e-01,2.987140615005046129e-04
7.259368896484375000e-01,3.235061764717102051e-01,7.181749343872070312e-01,8.759311437606811523e-01,6.791299581527709961e-01,1.214285613968968391e-03,1.748251169919967651e-02
6.842967271804809570e-01,8.375263214111328125e-01,5.073390156030654907e-02,5.273604393005371094e-01,1.331181824207305908e-01,9.772804379463195801e-01,4.109696298837661743e-02
7.203932404518127441e-01,7.153915762901306152e-01,1.604338139295578003e-01,4.113544225692749023e-01,1.372203230857849121e-02,2.061075866222381592e-01,2.532543838024139404e-01
6.722229123115539551e-01,6.589937806129455566e-01,6.074858903884887695e-01,1.173077598214149475e-01,7.183977961540222168e-01,2.772867083549499512e-01,5.209971591830253601e-02
7.017490267753601074e-01,7.139135599136352539e-01,9.482548236846923828e-01,9.595426917076110840e-01,9.664413332939147949e-01,5.790393352508544922e-01,2.117921598255634308e-03
7.399299740791320801e-01,2.392304986715316772e-01,5.623857378959655762e-01,1.023854780942201614e-02,2.735256552696228027e-01,8.559683561325073242e-01,5.835121870040893555e-01
7.095763087272644043e-01,5.122449398040771484e-01,3.037346005439758301e-01,3.723821938037872314e-01,6.029881238937377930e-01,6.938917636871337891e-01,1.984604746103286743e-01
6.804328560829162598e-01,1.561676561832427979e-01,1.999094337224960327e-01,9.686394929885864258e-01,2.149867266416549683e-01,7.376186251640319824e-01,1.331590116024017334e-02
6.448325514793395996e-01,5.384974479675292969e-01,4.209983050823211670e-01,5.575270392000675201e-03,5.411245226860046387e-01,9.947379827499389648e-01,9.645994752645492554e-02
6.390305757522583008e-01,5.632205284200608730e-04,9.600715041160583496e-01,5.111708641052246094e-01,6.427546143531799316e-01,2.677188441157341003e-02,5.510414950549602509e-03
6.829585433006286621e-01,4.249299764633178711e-01,1.017370149493217468e-01,2.439146041870117188e-01,2.799476683139801025e-01,3.864443004131317139e-01,5.953224897384643555e-01
7.140321731567382812e-01,8.608448505401611328e-02,3.286797925829887390e-02,2.475421130657196045e-02,3.427535593509674072e-01,5.696268081665039062e-01,5.669397115707397461e-01
6.891369819641113281e-01,2.441988885402679443e-02,1.097181718796491623e-02,6.963585615158081055e-01,9.756211638450622559e-01,9.840286970138549805e-01,6.424589810194447637e-05
6.843678951263427734e-01,3.954495862126350403e-02,5.434095859527587891e-01,3.355432767421007156e-03,1.952608227729797363e-01,1.053281575441360474e-01,4.727887734770774841e-02
7.230448126792907715e-01,1.341573707759380341e-02,7.998037338256835938e-01,5.068517923355102539e-01,9.894989132881164551e-01,2.041995227336883545e-01,2.130517968907952309e-03
7.356688976287841797e-01,4.462791681289672852e-01,1.793826371431350708e-01,4.127292931079864502e-01,2.320009768009185791e-01,6.518846154212951660e-01,7.657848596572875977e-01
7.636654973030090332e-01,6.319519281387329102e-01,6.150794029235839844e-01,4.580283761024475098e-01,3.721612691879272461e-01,3.730554282665252686e-01,2.182816863059997559e-01
7.231923937797546387e-01,4.466204047203063965e-01,5.537606477737426758e-01,6.198352575302124023e-01,3.379658795893192291e-03,6.494401097297668457e-01,1.263820081949234009e-01
7.670068144798278809e-01,2.652706801891326904e-01,3.227192461490631104e-01,4.134461283683776855e-01,3.562296330928802490e-01,9.095444679260253906e-01,6.241417527198791504e-01
7.944095730781555176e-01,7.738786935806274414e-01,5.210945010185241699e-01,1.479988992214202881e-01,6.796536594629287720e-02,8.855412006378173828e-01,1.128331199288368225e-01
7.751007080078125000e-01,7.894693613052368164e-01,6.062552332878112793e-01,2.872838824987411499e-02,9.845216274261474609e-01,1.184529289603233337e-01,1.323987822979688644e-02
7.493433952331542969e-01,6.261120438575744629e-01,2.293490171432495117e-01,9.925170540809631348e-01,4.255535006523132324e-01,5.962187051773071289e-01,3.757977625355124474e-03
7.910705208778381348e-01,5.863500386476516724e-02,3.432364463806152344e-01,5.032261833548545837e-02,4.731825292110443115e-01,8.953562974929809570e-01,2.684414088726043701e-01
8.019047975540161133e-01,4.774579703807830811e-01,1.292691975831985474e-01,2.093948423862457275e-02,6.202757954597473145e-01,4.364245384931564331e-02,5.565817467868328094e-03
8.327969908714294434e-01,1.073816977441310883e-02,6.255936026573181152e-01,8.077088743448257446e-03,2.986061275005340576e-01,5.225532650947570801e-01,3.358353674411773682e-01
8.375304341316223145e-01,3.732636570930480957e-01,3.783074915409088135e-01,8.664105534553527832e-01,2.185179442167282104e-01,5.109060555696487427e-03,7.682536728680133820e-03
8.274371623992919922e-01,2.921640276908874512e-01,5.949091315269470215e-01,8.309720158576965332e-01,2.980685532093048096e-01,9.196556806564331055e-01,2.869779765605926514e-01
8.715444803237915039e-01,6.404472589492797852e-01,6.212613582611083984e-01,5.926851630210876465e-01,6.788635849952697754e-01,9.658719897270202637e-01,2.856433391571044922e-02
9.155682921409606934e-01,5.154179334640502930e-01,9.144150614738464355e-01,4.630610048770904541e-01,3.140073716640472412e-01,6.453098654747009277e-01,3.110041916370391846e-01
8.946126103401184082e-01,4.371601939201354980e-01,8.332319855690002441e-01,1.109841912984848022e-01,6.589048355817794800e-02,3.786574816331267357e-03,4.696082789450883865e-03
8.877301812171936035e-01,6.157867908477783203e-01,7.340797185897827148e-01,9.785589575767517090e-01,9.962053894996643066e-01,1.471848636865615845e-01,5.234054289758205414e-03
8.845015764236450195e-01,3.264421820640563965e-01,5.031568408012390137e-01,8.795030713081359863e-01,5.400834977626800537e-02,8.679241538047790527e-01,1.378369927406311035e-01
8.396263122558593750e-01,9.783889055252075195e-01,5.341205596923828125e-01,1.583234369754791260e-01,9.081192016601562500e-01,5.085896849632263184e-01,1.813768292777240276e-03
8.455559611320495605e-01,1.561717838048934937e-01,5.060946941375732422e-01,9.161196351051330566e-01,7.377717494964599609e-01,4.679435193538665771e-01,9.567164233885705471e-04
8.144451379776000977e-01,3.455031812191009521e-01,7.609853744506835938e-01,3.676753044128417969e-01,1.667583882808685303e-01,4.753651618957519531e-01,3.883885741233825684e-01
8.555685877799987793e-01,1.164056137204170227e-01,8.137379288673400879e-01,5.627974271774291992e-01,9.722801446914672852e-01,6.997350454330444336e-01,9.880376746878027916e-04
8.798636198043823242e-01,2.586909532546997070e-01,5.426868796348571777e-02,5.087252855300903320e-01,6.524696946144104004e-01,6.392129510641098022e-02,5.818327888846397400e-03
8.704803586006164551e-01,3.704810142517089844e-01,9.654928445816040039e-01,7.172293961048126221e-02,9.034993052482604980e-01,9.901459217071533203e-01,5.115714855492115021e-03
9.023529291152954102e-01,3.733555972576141357e-01,4.055444598197937012e-01,2.590811848640441895e-01,2.457284480333328247e-01,9.917247295379638672e-01,3.052287101745605469e-01
9.312322735786437988e-01,4.407121613621711731e-02,6.668498516082763672e-01,9.346228837966918945e-01,1.488399133086204529e-02,3.930941224098205566e-01,2.196296118199825287e-03
9.716167449951171875e-01,5.877702832221984863e-01,9.098908901214599609e-01,1.717708706855773926e-01,9.788327217102050781e-01,9.728543460369110107e-03,1.231629867106676102e-03
9.430332183837890625e-01,9.320293664932250977e-01,5.537963509559631348e-01,9.661944508552551270e-01,4.893120825290679932e-01,9.186747670173645020e-01,5.924171302467584610e-03
9.574248194694519043e-01,4.391008615493774414e-02,8.780632615089416504e-01,4.651450365781784058e-02,5.536038428544998169e-02,7.046021223068237305e-01,1.552651971578598022e-01
9.080606698989868164e-01,1.859456896781921387e-01,8.364835381507873535e-01,9.091966748237609863e-01,9.792568087577819824e-01,9.429786801338195801e-01,1.361759379506111145e-03
8.850557208061218262e-01,4.431860446929931641e-01,4.155094325542449951e-01,4.594901949167251587e-02,5.394910573959350586e-01,6.387357115745544434e-01,1.367393881082534790e-01
8.721187710762023926e-01,5.892133116722106934e-01,9.616962075233459473e-01,1.978632807731628418e-02,3.780202567577362061e-01,4.989943653345108032e-02,6.890211720019578934e-03
8.935499191284179688e-01,8.105878829956054688e-01,5.635963752865791321e-02,9.630054831504821777e-01,3.818961381912231445e-01,2.616664171218872070e-01,5.944705102592706680e-03
8.440558910369873047e-01,1.971562057733535767e-01,9.389346241950988770e-01,5.789399147033691406e-01,5.480621382594108582e-02,7.530049681663513184e-01,3.295092284679412842e-01
8.198323249816894531e-01,4.950721263885498047e-01,2.869877815246582031e-01,5.286016464233398438e-01,6.669105589389801025e-02,1.005580872297286987e-01,5.847115442156791687e-02
7.972754836082458496e-01,1.274360716342926025e-01,9.292143583297729492e-01,6.156445741653442383e-01,2.720247209072113037e-01,6.478893756866455078e-01,2.828879654407501221e-01
7.976977229118347168e-01,8.782286643981933594e-01,3.340528309345245361e-01,3.086308240890502930e-01,4.026178121566772461e-01,7.253679633140563965e-01,1.461725682020187378e-01
7.722039222717285156e-01,9.151052236557006836e-01,8.466659784317016602e-01,7.378342747688293457e-01,9.868003129959106445e-01,3.762118518352508545e-02,2.263512313365936279e-01
7.258363366127014160e-01,6.734934635460376740e-03,5.546661615371704102e-01,2.252172231674194336e-01,1.742327064275741577e-01,7.886062860488891602e-01,8.482324481010437012e-01
7.046194076538085938e-01,9.785987138748168945e-01,6.856799721717834473e-01,3.632541298866271973e-01,8.229511380195617676e-01,7.444630609825253487e-04,3.841980099678039551e-01
7.470461130142211914e-01,9.238489270210266113e-01,1.723477244377136230e-01,7.058112621307373047e-01,9.973906874656677246e-01,9.824451804161071777e-01,2.173120083170942962e-05
7.704026699066162109e-01,9.868420958518981934e-01,7.178855538368225098e-01,9.981901645660400391e-01,4.880043491721153259e-02,1.385225355625152588e-01,4.345494508743286133e-02
7.830657958984375000e-01,8.678097128868103027e-01,8.228338360786437988e-01,5.487158428877592087e-03,2.529942095279693604e-01,4.646633267402648926e-01,4.544183239340782166e-02
7.491568326950073242e-01,4.460355639457702637e-02,9.666540622711181641e-01,4.296632707118988037e-01,2.758275270462036133e-01,5.488179996609687805e-02,2.960174903273582458e-02
7.444319725036621094e-01,3.954857215285301208e-02,5.550789460539817810e-02,2.635275423526763916e-01,6.103782914578914642e-03,8.661982417106628418e-01,1.800322383642196655e-01
7.526679039001464844e-01,9.848762750625610352e-01,6.002377718687057495e-02,7.029760479927062988e-01,3.764243125915527344e-01,3.238585591316223145e-02,3.064538836479187012e-01
7.817668914794921875e-01,8.217184543609619141e-01,9.792511463165283203e-01,5.672665834426879883e-01,8.205499053001403809e-01,4.472297132015228271e-01,2.577317133545875549e-02
8.314958810806274414e-01,3.829866275191307068e-02,9.949225783348083496e-01,1.115085277706384659e-02,8.178593963384628296e-02,9.926771521568298340e-01,2.208351045846939087e-01
8.639351725578308105e-01,9.818032979965209961e-01,7.771965265274047852e-01,9.061731100082397461e-01,1.038894206285476685e-01,6.054278612136840820e-01,5.854822229593992233e-03
8.494048118591308594e-01,8.794192075729370117e-01,3.689822256565093994e-01,9.329398870468139648e-01,7.675490379333496094e-01,1.468762662261724472e-02,2.876176498830318451e-02
8.227119445800781250e-01,1.056014094501733780e-02,1.261868625879287720e-01,6.311885267496109009e-02,6.534337997436523438e-01,4.187510311603546143e-01,4.318325221538543701e-02
7.754338979721069336e-01,7.787795662879943848e-01,9.646193385124206543e-01,9.039193391799926758e-01,1.968256942927837372e-02,9.913599491119384766e-01,2.120788097381591797e-01
7.731008529663085938e-01,2.863073647022247314e-01,5.987274050712585449e-01,9.945699572563171387e-01,6.760871410369873047e-01,9.302577972412109375e-01,2.619147300720214844e-02
8.102581501007080078e-01,9.621117711067199707e-01,7.735629677772521973e-01,6.036771535873413086e-01,7.697734236717224121e-02,9.981656670570373535e-01,5.954084172844886780e-02
7.880658507347106934e-01,5.006110295653343201e-02,8.197677731513977051e-01,6.075708270072937012e-01,6.007557511329650879e-01,7.750254273414611816e-01,8.077173680067062378e-02
8.055249452590942383e-01,2.063649147748947144e-02,4.078839719295501709e-01,3.639993965625762939e-01,9.451649785041809082e-01,2.857651747763156891e-02,7.099992944858968258e-04
8.351882696151733398e-01,9.806036353111267090e-01,4.498506486415863037e-01,3.525718152523040771e-01,4.570946693420410156e-01,1.772372797131538391e-02,7.759797573089599609e-02
7.866647243499755859e-01,9.596342444419860840e-01,6.699682474136352539e-01,5.002848803997039795e-02,5.391482710838317871e-01,9.535830616950988770e-01,1.981808058917522430e-02
7.727686762809753418e-01,9.274315834045410156e-01,4.402979612350463867e-01,8.928956985473632812e-01,5.483862161636352539e-01,2.805058360099792480e-01,4.917875304818153381e-02
7.814139723777770996e-01,1.712235361337661743e-01,4.611529409885406494e-01,1.066283211112022400e-01,9.583954811096191406e-01,5.451290011405944824e-01,1.213943958282470703e-02
