evaluation,mape
2.000000000000000000e+00,3.700078658638538132e-01
1.000000000000000000e+01,5.065433590378334155e-02
2.000000000000000000e+01,4.030367355809005153e-02
3.000000000000000000e+01,4.140686029519850125e-02
4.000000000000000000e+01,4.215776561897275482e-02
5.000000000000000000e+01,1.490969285732739527e-02
6.000000000000000000e+01,1.925846868454392929e-02
7.000000000000000000e+01,1.564373488507809704e-02
8.000000000000000000e+01,2.190386798501165258e-03
9.000000000000000000e+01,4.177758340430781821e-03
1.000000000000000000e+02,1.744445494831558174e-03
