evaluation,mape
2.000000000000000000e+00,7.069156144806167941e-01
1.000000000000000000e+01,7.228292405759113581e-01
2.000000000000000000e+01,5.477473397376886322e-01
3.000000000000000000e+01,5.594434699284929202e-01
4.000000000000000000e+01,5.678122088593829941e-01
5.000000000000000000e+01,5.481928306322574329e-01
6.000000000000000000e+01,4.019497403012357029e-01
7.000000000000000000e+01,3.003286149186780718e-01
8.000000000000000000e+01,2.142552520187085419e-01
9.000000000000000000e+01,2.057850262209471870e-01
1.000000000000000000e+02,2.059650350297315691e-01
