evaluation,mape
2.000000000000000000e+00,8.497851435894012706e-01
1.000000000000000000e+01,7.227999341143204193e-01
2.000000000000000000e+01,6.161372714795215755e-01
3.000000000000000000e+01,5.852445525807566939e-01
4.000000000000000000e+01,3.104521323356110307e-01
5.000000000000000000e+01,3.031992407257563804e-01
6.000000000000000000e+01,2.731454241843046526e-01
7.000000000000000000e+01,2.506136486303380817e-01
8.000000000000000000e+01,2.058867712522815252e-01
9.000000000000000000e+01,1.995412079047045872e-01
1.000000000000000000e+02,4.611910305228149320e-02
