evaluation,mae
2.000000000000000000e+00,3.783780585289001408e+01
1.000000000000000000e+01,1.163028854370117138e+01
2.000000000000000000e+01,6.657395286560058523e+00
3.000000000000000000e+01,6.200863151550293217e+00
4.000000000000000000e+01,5.549698448181151988e+00
5.000000000000000000e+01,5.397597084045409943e+00
6.000000000000000000e+01,4.523513641357421733e+00
7.000000000000000000e+01,4.318900909423827983e+00
8.000000000000000000e+01,3.952882728576660121e+00
9.000000000000000000e+01,3.313254432678222727e+00
1.000000000000000000e+02,3.328920288085937429e+00
