evaluation,mae
2.000000000000000000e+00,3.127679277420044102e+01
1.000000000000000000e+01,3.131273473739624080e+01
2.000000000000000000e+01,1.910365974426269631e+01
3.000000000000000000e+01,6.961636886596680007e+00
4.000000000000000000e+01,7.711541023254394389e+00
5.000000000000000000e+01,7.135767364501953480e+00
6.000000000000000000e+01,6.246417579650878515e+00
7.000000000000000000e+01,3.536925277709960902e+00
8.000000000000000000e+01,3.527526054382324361e+00
9.000000000000000000e+01,3.602857971191406161e+00
1.000000000000000000e+02,3.264715881347656445e+00
