evaluation,mae
2.000000000000000000e+00,3.773570013046264648e+01
1.000000000000000000e+01,3.356398862838744890e+01
2.000000000000000000e+01,3.001097414016723519e+01
3.000000000000000000e+01,2.738231142044067212e+01
4.000000000000000000e+01,2.701555960655212374e+01
5.000000000000000000e+01,1.674676841735839972e+01
6.000000000000000000e+01,5.655142211914062855e+00
7.000000000000000000e+01,5.183821029663086222e+00
8.000000000000000000e+01,5.184996757507324361e+00
9.000000000000000000e+01,5.226195297241210902e+00
1.000000000000000000e+02,5.280942726135253729e+00
