evaluation,mae
2.000000000000000000e+00,3.520789469718933162e+01
1.000000000000000000e+01,1.094422645568847585e+01
2.000000000000000000e+01,4.820577583312988246e+00
3.000000000000000000e+01,3.583090629577636577e+00
4.000000000000000000e+01,2.482875671386718608e+00
5.000000000000000000e+01,2.159276733398437287e+00
6.000000000000000000e+01,2.076229400634765465e+00
7.000000000000000000e+01,1.996822586059570304e+00
8.000000000000000000e+01,1.648579177856445366e+00
9.000000000000000000e+01,1.285040740966796768e+00
1.000000000000000000e+02,1.279837951660156348e+00
