evaluation,mae
2.000000000000000000e+00,3.107564301490783620e+01
1.000000000000000000e+01,2.305522548675537209e+01
2.000000000000000000e+01,1.226537940979003949e+01
3.000000000000000000e+01,4.891794128417968679e+00
4.000000000000000000e+01,2.734061088562011577e+00
5.000000000000000000e+01,2.435403137207031055e+00
6.000000000000000000e+01,1.912862319946289080e+00
7.000000000000000000e+01,1.554444961547851500e+00
8.000000000000000000e+01,1.115519790649414089e+00
9.000000000000000000e+01,9.146884918212890847e-01
1.000000000000000000e+02,6.880625915527344150e-01
