evaluation,mae
2.000000000000000000e+00,2.520749093592166812e+00
1.000000000000000000e+01,1.827168788909912189e+00
2.000000000000000000e+01,2.197255400419235283e+00
3.000000000000000000e+01,2.303080039620399422e+00
4.000000000000000000e+01,2.142054914236068530e+00
5.000000000000000000e+01,1.147314772605896094e+00
6.000000000000000000e+01,1.110910506248474094e+00
7.000000000000000000e+01,1.135668327808380118e+00
8.000000000000000000e+01,1.149155464172363361e+00
9.000000000000000000e+01,1.178992344141006399e+00
1.000000000000000000e+02,1.101569778919220033e+00
