evaluation,mape
2.000000000000000000e+00,7.519476000450674436e-01
1.000000000000000000e+01,1.748805301582202765e-01
2.000000000000000000e+01,3.871783909240079230e-02
3.000000000000000000e+01,6.020384992521230286e-03
4.000000000000000000e+01,5.636577960779141395e-03
5.000000000000000000e+01,3.972410943569138625e-03
6.000000000000000000e+01,2.627751125581783039e-03
7.000000000000000000e+01,2.371660643131595116e-03
8.000000000000000000e+01,1.935152934267816201e-03
9.000000000000000000e+01,1.096976778142168480e-03
1.000000000000000000e+02,5.911490505381214455e-04
