evaluation,mape
2.000000000000000000e+00,8.705033059835703968e-01
1.000000000000000000e+01,6.101221207817648651e-01
2.000000000000000000e+01,4.252149186446170792e-01
3.000000000000000000e+01,1.934390494269592753e-01
4.000000000000000000e+01,8.596709895996547390e-02
5.000000000000000000e+01,5.724303604518701100e-02
6.000000000000000000e+01,4.682098272976287917e-02
7.000000000000000000e+01,4.414564543582874534e-02
8.000000000000000000e+01,4.032730264474415627e-02
9.000000000000000000e+01,3.774538529815268939e-02
1.000000000000000000e+02,2.208461584071455888e-02
