evaluation,mape
2.000000000000000000e+00,8.767185816516464003e-01
1.000000000000000000e+01,5.331579562185253529e-01
2.000000000000000000e+01,4.294654326768324037e-01
3.000000000000000000e+01,1.866100415666525070e-01
4.000000000000000000e+01,1.448986839189654041e-01
5.000000000000000000e+01,1.325147112698714935e-01
6.000000000000000000e+01,1.215114813407565802e-01
7.000000000000000000e+01,1.168299532088886150e-01
8.000000000000000000e+01,5.703687424727663796e-02
9.000000000000000000e+01,3.273559327510867922e-02
1.000000000000000000e+02,3.225376348905320545e-02
