evaluation,mae
2.000000000000000000e+00,2.064872713088989453e+00
1.000000000000000000e+01,1.537554631233215341e+00
2.000000000000000000e+01,2.367119884490966886e-01
3.000000000000000000e+01,3.102518081665038910e-02
4.000000000000000000e+01,1.587383270263671708e-02
5.000000000000000000e+01,1.150136947631835889e-02
6.000000000000000000e+01,1.699838638305663924e-02
7.000000000000000000e+01,1.176036834716796819e-02
8.000000000000000000e+01,1.079915046691894490e-02
9.000000000000000000e+01,5.007066726684570278e-03
1.000000000000000000e+02,6.101131439208984375e-03
