evaluation,mae
2.000000000000000000e+00,2.068910329267382497e+00
1.000000000000000000e+01,1.961575082540512049e+00
2.000000000000000000e+01,1.874535145163536143e+00
3.000000000000000000e+01,1.621023912429809588e+00
4.000000000000000000e+01,1.233962975740432677e+00
5.000000000000000000e+01,1.273868508338928285e+00
6.000000000000000000e+01,1.294431740045547397e+00
7.000000000000000000e+01,7.364586067199706543e-01
8.000000000000000000e+01,2.366089105606078991e-01
9.000000000000000000e+01,1.976436853408813366e-01
1.000000000000000000e+02,1.356571578979492154e-01
