evaluation,mae
2.000000000000000000e+00,1.635855770707130397e+00
1.000000000000000000e+01,1.384587535858154306e+00
2.000000000000000000e+01,1.096865406036376944e+00
3.000000000000000000e+01,6.938937771320342618e-01
4.000000000000000000e+01,6.771733081340789440e-01
5.000000000000000000e+01,6.575010383129119562e-01
6.000000000000000000e+01,6.468775486946105602e-01
7.000000000000000000e+01,4.833512246608734353e-01
8.000000000000000000e+01,3.336422181129455322e-01
9.000000000000000000e+01,3.175046038627624689e-01
1.000000000000000000e+02,3.464396989345550626e-01
