evaluation,mae
2.000000000000000000e+00,2.574666591584682251e+00
1.000000000000000000e+01,1.702744805812835605e+00
2.000000000000000000e+01,9.354867029190063743e-01
3.000000000000000000e+01,6.416282653808593750e-01
4.000000000000000000e+01,4.488040900230407804e-01
5.000000000000000000e+01,4.570510363578796365e-01
6.000000000000000000e+01,4.628390645980834939e-01
7.000000000000000000e+01,4.908235859870910822e-01
8.000000000000000000e+01,5.141987133026123535e-01
9.000000000000000000e+01,4.680174255371093994e-01
1.000000000000000000e+02,4.683059287071227872e-01
