evaluation,mae
2.000000000000000000e+00,1.979825699329376132e+00
1.000000000000000000e+01,2.097896989583968974e+00
2.000000000000000000e+01,5.457468843460082653e-01
3.000000000000000000e+01,5.288343453407287065e-01
4.000000000000000000e+01,3.006214308738708318e-01
5.000000000000000000e+01,3.105039286613464622e-01
6.000000000000000000e+01,3.041594862937927468e-01
7.000000000000000000e+01,3.232660388946533292e-01
8.000000000000000000e+01,3.438901019096374245e-01
9.000000000000000000e+01,2.989769077301025479e-01
1.000000000000000000e+02,3.016187810897827393e-01
