evaluation,mae
2.000000000000000000e+00,2.822511368095874662e+00
1.000000000000000000e+01,2.736051924824714821e+00
2.000000000000000000e+01,2.592615914344787775e+00
3.000000000000000000e+01,1.990939164161682040e+00
4.000000000000000000e+01,2.909087228775024681e-01
5.000000000000000000e+01,2.135590124130249123e-01
6.000000000000000000e+01,6.689444541931152677e-02
7.000000000000000000e+01,5.151728630065918052e-02
8.000000000000000000e+01,3.704936027526855441e-02
9.000000000000000000e+01,5.395075798034668080e-02
1.000000000000000000e+02,5.650586128234863503e-02
