evaluation,mape
2.000000000000000000e+00,9.626553145964389380e-01
1.000000000000000000e+01,5.979260080731223503e-01
2.000000000000000000e+01,7.432534502296878065e-01
3.000000000000000000e+01,5.951157481843890595e-01
4.000000000000000000e+01,3.867805415272217440e-01
5.000000000000000000e+01,2.845606561836845350e-01
6.000000000000000000e+01,2.817771962105306560e-01
7.000000000000000000e+01,2.450346625966385306e-01
8.000000000000000000e+01,2.359081068038564877e-01
9.000000000000000000e+01,2.374358802067701169e-01
1.000000000000000000e+02,2.304783545658798949e-01
