evaluation,mape
2.000000000000000000e+00,9.542509344079991296e-01
1.000000000000000000e+01,8.140881863812523545e-01
2.000000000000000000e+01,8.262774492904747525e-01
3.000000000000000000e+01,5.562955319322544501e-01
4.000000000000000000e+01,3.866543817616341361e-01
5.000000000000000000e+01,3.193190056017029543e-01
6.000000000000000000e+01,2.578192360660613303e-01
7.000000000000000000e+01,2.395018758056667030e-01
8.000000000000000000e+01,2.569866805669629994e-01
9.000000000000000000e+01,1.053689926159789153e-01
1.000000000000000000e+02,1.467744330719959397e-02
