evaluation,mae
2.000000000000000000e+00,2.559623696058988429e+00
1.000000000000000000e+01,2.571118896082043470e+00
2.000000000000000000e+01,1.957661740779876647e+00
3.000000000000000000e+01,1.524884319305420011e+00
4.000000000000000000e+01,1.242537107467651447e+00
5.000000000000000000e+01,6.267210912704467285e-01
6.000000000000000000e+01,5.774596834182739169e-01
7.000000000000000000e+01,2.437017107009887829e-01
8.000000000000000000e+01,2.047195291519164906e-01
9.000000000000000000e+01,9.620572090148925282e-02
1.000000000000000000e+02,9.376034736633301336e-03
