evaluation,mape
2.000000000000000000e+00,9.548107158691229168e-01
1.000000000000000000e+01,8.567101991150469775e-01
2.000000000000000000e+01,8.611405822965447765e-01
3.000000000000000000e+01,8.156243052963942919e-01
4.000000000000000000e+01,7.873664414280185930e-01
5.000000000000000000e+01,4.746010011549294805e-01
6.000000000000000000e+01,4.668365008509621772e-01
7.000000000000000000e+01,4.847618929893470763e-01
8.000000000000000000e+01,4.823190408419437691e-01
9.000000000000000000e+01,4.738459125035852093e-01
1.000000000000000000e+02,4.489536331906426869e-01
