evaluation,mae
2.000000000000000000e+00,3.355842511177063159e+01
1.000000000000000000e+01,3.259876812934875545e+01
2.000000000000000000e+01,3.034676916122436552e+01
3.000000000000000000e+01,2.947963454246520953e+01
4.000000000000000000e+01,2.039116751670837502e+01
5.000000000000000000e+01,1.801258927345275751e+01
6.000000000000000000e+01,1.263616016387939389e+01
7.000000000000000000e+01,9.220020408630370312e+00
8.000000000000000000e+01,6.111065254211426101e+00
9.000000000000000000e+01,4.456585731506347514e+00
1.000000000000000000e+02,4.251288375854492152e+00
