evaluation,mae
2.000000000000000000e+00,3.224453554153442525e+01
1.000000000000000000e+01,3.306230559349059916e+01
2.000000000000000000e+01,9.989175376892090341e+00
3.000000000000000000e+01,7.174110336303710866e+00
4.000000000000000000e+01,7.072769126892089808e+00
5.000000000000000000e+01,6.617479515075683771e+00
6.000000000000000000e+01,4.777308654785156428e+00
7.000000000000000000e+01,2.820217742919921999e+00
8.000000000000000000e+01,2.138812789916991974e+00
9.000000000000000000e+01,2.178274383544922088e+00
1.000000000000000000e+02,2.190969848632812411e+00
