evaluation,mae
2.000000000000000000e+00,3.105994071960449077e+01
1.000000000000000000e+01,1.619410026550292869e+01
2.000000000000000000e+01,8.040235176086426350e+00
3.000000000000000000e+01,4.631880187988281605e+00
4.000000000000000000e+01,4.213125648498535547e+00
5.000000000000000000e+01,2.304647979736328178e+00
6.000000000000000000e+01,1.738675537109374947e+00
7.000000000000000000e+01,1.668473205566406214e+00
8.000000000000000000e+01,1.578842468261718812e+00
9.000000000000000000e+01,1.542318496704101483e+00
1.000000000000000000e+02,1.611952285766601545e+00
