evaluation,mae
2.000000000000000000e+00,2.935158163070678583e+01
1.000000000000000000e+01,1.247927021026611349e+01
2.000000000000000000e+01,4.372188796997070526e+00
3.000000000000000000e+01,3.196420288085937589e+00
4.000000000000000000e+01,3.065120201110839826e+00
5.000000000000000000e+01,2.969677925109863281e+00
6.000000000000000000e+01,2.864040565490722834e+00
7.000000000000000000e+01,1.857056808471679643e+00
8.000000000000000000e+01,1.693287429809570366e+00
9.000000000000000000e+01,1.557550201416015634e+00
1.000000000000000000e+02,1.429128189086914080e+00
