controllable,controllable,environmental,controllable,controllable,controllable,output
4.345034777229448419e-01,1.468084145769132931e-01,4.328514175170048439e-01,9.951573340271491208e-02,6.720325680619024800e-01,6.812734355036127454e-01,4.534294211867481716e-01
6.136999130249023438e-01,7.534605860710144043e-01,4.571142494678497314e-01,9.902569055557250977e-01,5.559655427932739258e-01,9.753119200468063354e-02,2.186095714569091797e-01
4.033726751804351807e-01,3.417313098907470703e-02,4.170686900615692139e-01,1.642478555440902710e-01,8.561857938766479492e-01,7.740678787231445312e-01,2.380952388048171997e-01
5.086482688784599304e-02,4.874693751335144043e-01,4.405228197574615479e-01,4.641835391521453857e-02,3.975459933280944824e-02,6.412249058485031128e-02,4.435635730624198914e-02
3.595498502254486084e-01,9.871827960014343262e-01,4.407909810543060303e-01,1.982167512178421021e-01,6.321412920951843262e-01,6.517009735107421875e-01,8.970607817173004150e-02
3.389153778553009033e-01,3.417434990406036377e-01,4.355241060256958008e-01,4.250138998031616211e-01,7.123884558677673340e-01,7.324262857437133789e-01,3.317721784114837646e-01
4.977002441883087158e-01,4.290122538805007935e-02,4.089745581150054932e-01,2.610864639282226562e-01,6.104621291160583496e-01,1.931444853544235229e-01,1.187482252717018127e-01
4.535196423530578613e-01,2.680728435516357422e-01,3.643680810928344727e-01,2.997273504734039307e-01,2.510702908039093018e-01,6.304786801338195801e-01,2.401650428771972656e+00
8.178095817565917969e-01,4.602790683859975167e-19,3.679828047752380371e-01,3.734503388404846191e-01,2.947948873043060303e-01,8.692093491554260254e-01,6.725240945816040039e-01
3.701169788837432861e-01,1.608687788248062134e-01,3.274968862533569336e-01,9.789037108421325684e-01,2.652474045753479004e-01,1.000000000000000000e+00,1.750108413398265839e-02
5.351966023445129395e-01,3.828882570706893857e-18,3.619505465030670166e-01,1.479499936103820801e-01,1.920172870159149170e-01,5.924286246299743652e-01,1.393379211425781250e+00
4.288350045680999756e-01,4.021371603012084961e-01,3.867731392383575439e-01,3.211870491504669189e-01,2.771869003772735596e-01,6.134526729583740234e-01,2.126566410064697266e+00
3.469446951953614189e-17,9.686852097511291504e-01,3.383885025978088379e-01,7.230549454689025879e-01,2.509929537773132324e-01,6.611789464950561523e-01,3.993695229291915894e-02
4.470482468605041504e-01,2.053787708282470703e-01,3.726253509521484375e-01,3.432336449623107910e-01,2.401950657367706299e-01,6.637257337570190430e-01,2.416296720504760742e+00
4.476205408573150635e-01,1.000000000000000000e+00,3.878884017467498779e-01,3.186938464641571045e-01,2.386448383331298828e-01,2.834336354146419455e-16,1.403823137283325195e+00
4.614963829517364502e-01,9.874781370162963867e-01,3.713946640491485596e-01,3.140647113323211670e-01,2.414111644029617310e-01,7.692396044731140137e-01,1.915456354618072510e-01
4.086240231990814209e-01,2.091921567916870117e-01,3.905069828033447266e-01,4.134781360626220703e-01,2.523682415485382080e-01,6.392918229103088379e-01,2.282842636108398438e+00
6.110514402389526367e-01,2.941031157970428467e-01,4.283420741558074951e-01,0.000000000000000000e+00,2.078190147876739502e-01,6.724466681480407715e-01,7.158051729202270508e-01
4.512587189674377441e-01,2.172379791736602783e-01,3.902720510959625244e-01,3.461997210979461670e-01,2.387089282274246216e-01,5.529184341430664062e-01,2.159089803695678711e+00
4.063127040863037109e-01,2.110368609428405762e-01,4.045656323432922363e-01,2.920949459075927734e-01,2.482181191444396973e-01,6.520552039146423340e-01,2.683190822601318359e+00
3.854537010192871094e-01,1.691112965345382690e-01,4.032525420188903809e-01,2.511465251445770264e-01,2.681075632572174072e-01,6.834896802902221680e-01,2.839893579483032227e+00
3.490996062755584717e-01,1.638106554746627808e-01,3.971771895885467529e-01,2.360568791627883911e-01,2.584508359432220459e-01,7.439250349998474121e-01,2.732506275177001953e+00
3.794900476932525635e-01,1.261128485202789307e-01,3.715173304080963135e-01,2.674024999141693115e-01,2.959924638271331787e-01,6.979395151138305664e-01,2.908864259719848633e+00
3.409487903118133545e-01,1.022404879331588745e-01,3.506633937358856201e-01,2.697280645370483398e-01,2.991038560867309570e-01,6.557990312576293945e-01,3.016122579574584961e+00
2.817416191101074219e-01,1.155752092599868774e-01,3.303624391555786133e-01,2.769070267677307129e-01,2.973310351371765137e-01,6.624361276626586914e-01,3.116359949111938477e+00
1.390257775783538818e-01,7.581679821014404297e-01,2.937533855438232422e-01,5.976610183715820312e-01,3.547727763652801514e-01,5.052036792039871216e-02,8.419383168220520020e-01
2.248900681734085083e-01,1.580648422241210938e-01,2.952975630760192871e-01,2.693148553371429443e-01,3.053647875785827637e-01,6.600204110145568848e-01,3.107220888137817383e+00
2.133005410432815552e-01,9.238304197788238525e-02,2.527967095375061035e-01,2.875055372714996338e-01,2.857584953308105469e-01,6.671966910362243652e-01,2.984215497970581055e+00
2.734448015689849854e-01,1.639079153537750244e-01,2.991237044334411621e-01,2.746517360210418701e-01,3.118882179260253906e-01,6.611629724502563477e-01,3.087385416030883789e+00
2.079255729913711548e-01,1.089173704385757446e-01,3.059727847576141357e-01,2.672471106052398682e-01,3.291475176811218262e-01,6.664355993270874023e-01,3.085464000701904297e+00
3.013739548623561859e-02,7.321334630250930786e-02,2.655155658721923828e-01,2.794508934020996094e-01,1.977973729372024536e-01,2.510810196399688721e-01,5.693859457969665527e-01
2.318852096796035767e-01,1.361894905567169189e-01,2.974975407123565674e-01,2.400925308465957642e-01,3.062413334846496582e-01,6.737300753593444824e-01,3.056247711181640625e+00
