controllable,controllable,environmental,controllable,controllable,controllable,output
2.519506254885617302e-02,5.950905378277449032e-02,1.921457961997263819e-02,7.607066314809438623e-01,6.162572374166406242e-01,8.228690311916458944e-01,3.637783974858542491e-02
6.961798071861267090e-01,9.779926538467407227e-01,3.499319404363632202e-02,4.183802306652069092e-01,4.756990075111389160e-01,7.082666456699371338e-02,5.202662944793701172e-01
7.280509471893310547e-01,9.418764710426330566e-01,5.672313645482063293e-02,3.965110182762145996e-01,4.560553133487701416e-01,8.355551213026046753e-02,3.615286648273468018e-01
5.489826202392578125e-01,1.000000000000000000e+00,7.040190696716308594e-02,5.210425257682800293e-01,5.669263601303100586e-01,1.127300690859556198e-02,1.837185859680175781e+00
4.688898324966430664e-01,1.000000000000000000e+00,9.823381155729293823e-02,5.768394470214843750e-01,6.165514588356018066e-01,1.325044245072566482e-17,2.477458715438842773e+00
3.049415051937103271e-01,9.987896680831909180e-01,1.259379982948303223e-01,6.977106928825378418e-01,7.307921648025512695e-01,0.000000000000000000e+00,1.910184502601623535e+00
4.062248766422271729e-01,1.000000000000000000e+00,1.665325462818145752e-01,4.576868116855621338e-01,3.859384953975677490e-01,5.428467293462201776e-15,2.377317428588867188e+00
4.430434107780456543e-01,9.679363430561971349e-13,2.140338569879531860e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.770100004971027374e-04
4.418206214904785156e-01,1.000000000000000000e+00,2.451049685478210449e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.188647150993347168e-01,3.971951548010110855e-03
4.440975785255432129e-01,1.000000000000000000e+00,2.766540050506591797e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.017115377627925834e-16,4.054515957832336426e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.953337132930755615e-01,5.355680584907531738e-01,4.428358078002929688e-01,8.983597719891545097e-12,1.691161692142486572e-01
4.078257381916046143e-01,1.000000000000000000e+00,3.383033275604248047e-01,5.664650201797485352e-01,7.722625732421875000e-01,0.000000000000000000e+00,2.648816347122192383e+00
3.990795910358428955e-01,1.646042019128799438e-01,2.969057559967041016e-01,5.505532026290893555e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.904460534453392029e-02
4.039112925529479980e-01,9.043093919754028320e-01,2.921102344989776611e-01,5.639247298240661621e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.834863662719726562e+00
4.003537893295288086e-01,8.732761740684509277e-01,2.811511158943176270e-01,5.683693289756774902e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.074553489685058594e+00
3.932115733623504639e-01,8.493125438690185547e-01,2.793232202529907227e-01,5.619281530380249023e-01,2.141817568943472482e-16,3.778767585754394531e-01,6.429945230484008789e-01
3.955887556076049805e-01,8.596150875091552734e-01,2.493553012609481812e-01,5.708878040313720703e-01,1.511211704108012931e-15,4.499312117695808411e-02,3.116504430770874023e+00
3.753941953182220459e-01,8.109434843063354492e-01,2.023853063583374023e-01,5.566505789756774902e-01,1.267468669408058012e-17,2.832632698118686676e-02,2.944466590881347656e+00
4.142837524414062500e-01,8.680860400199890137e-01,2.217129617929458618e-01,5.962853431701660156e-01,0.000000000000000000e+00,3.615142777562141418e-02,3.105148077011108398e+00
4.023640155792236328e-01,8.918123841285705566e-01,1.872431635856628418e-01,5.716100931167602539e-01,0.000000000000000000e+00,3.791846707463264465e-02,3.120908737182617188e+00
4.363046586513519287e-01,7.009562849998474121e-01,2.080980688333511353e-01,7.736220955848693848e-01,5.272775292396545410e-01,1.420839577913284302e-01,1.345396995544433594e+00
4.198021292686462402e-01,8.656854629516601562e-01,2.289528697729110718e-01,5.597498416900634766e-01,3.694076023807307818e-14,3.833296522498130798e-02,3.106539011001586914e+00
8.171768486499786377e-02,6.532510519027709961e-01,2.641573250293731689e-01,1.253677718341350555e-02,4.492556452751159668e-01,2.662735879421234131e-01,1.482293307781219482e-01
4.836570024490356445e-01,5.997952222824096680e-01,2.647863030433654785e-01,7.296893000602722168e-02,7.507728040218353271e-02,3.232400491833686829e-02,1.341943144798278809e-01
8.479641079902648926e-01,2.213307768106460571e-01,2.709923088550567627e-01,4.193124175071716309e-01,6.953311562538146973e-01,9.750354290008544922e-01,2.791611105203628540e-02
7.431001216173171997e-02,9.103846549987792969e-01,2.722213566303253174e-01,2.860414423048496246e-02,1.989591121673583984e-01,9.239785075187683105e-01,9.730366617441177368e-02
9.297657012939453125e-01,5.180163383483886719e-01,2.709451615810394287e-01,9.071446061134338379e-01,8.545748591423034668e-01,1.264402121305465698e-01,2.806148957461118698e-03
3.076449930667877197e-01,8.711481690406799316e-01,3.069631457328796387e-01,4.495599865913391113e-01,6.957796812057495117e-01,2.964286133646965027e-02,2.217586755752563477e+00
3.471226096153259277e-01,3.709590807557106018e-02,2.975210249423980713e-01,2.678065299987792969e-01,4.425735026597976685e-02,8.742418885231018066e-01,6.404106616973876953e-01
4.712621271610260010e-01,7.057314515113830566e-01,2.920440733432769775e-01,5.144003033638000488e-01,7.549195289611816406e-01,1.349742561578750610e-01,1.847424149513244629e+00
5.711360573768615723e-01,2.806741893291473389e-01,2.524417340755462646e-01,1.444769464433193207e-02,5.220829844474792480e-01,5.934107303619384766e-01,4.246703088283538818e-01
6.375502943992614746e-01,9.689798355102539062e-01,2.773245275020599365e-01,8.515653014183044434e-02,1.078569740056991577e-01,9.207822084426879883e-01,3.523442521691322327e-02
4.572518467903137207e-01,9.214338660240173340e-01,3.130217492580413818e-01,4.397800564765930176e-01,7.039515376091003418e-01,1.352964043617248535e-01,2.099917173385620117e+00
3.775748889893293381e-03,7.927807420492172241e-02,3.082776963710784912e-01,8.872749656438827515e-02,5.450224280357360840e-01,8.400400876998901367e-01,6.440899372100830078e-01
9.208314418792724609e-01,6.368706375360488892e-02,2.643319964408874512e-01,1.715347021818161011e-01,6.368809938430786133e-01,3.042205274105072021e-01,3.347992897033691406e-02
9.665287137031555176e-01,9.186769723892211914e-01,2.352680563926696777e-01,6.183717846870422363e-01,4.556632041931152344e-01,9.547200202941894531e-01,8.527988567948341370e-03
8.494044840335845947e-02,1.270454190671443939e-02,2.464613914489746094e-01,4.076524376869201660e-01,6.880068033933639526e-02,3.088783621788024902e-01,3.368090093135833740e-01
1.790558695793151855e-01,6.283776164054870605e-01,2.827905118465423584e-01,5.480548739433288574e-01,4.443326592445373535e-01,1.330804973840713501e-01,7.397646903991699219e-01
9.146047383546829224e-02,8.793391585350036621e-01,3.014037013053894043e-01,6.787313818931579590e-01,5.508657693862915039e-01,9.270470738410949707e-01,2.463009394705295563e-02
5.600306987762451172e-01,2.858547680079936981e-02,2.969982326030731201e-01,5.987566709518432617e-01,8.284057378768920898e-01,5.832172632217407227e-01,2.142338454723358154e-02
2.321054339408874512e-01,3.925502598285675049e-01,2.574537694454193115e-01,4.924700129777193069e-03,7.266770005226135254e-01,9.698961973190307617e-01,7.681407779455184937e-02
1.208196729421615601e-01,3.002535784617066383e-03,2.658660113811492920e-01,3.312255954369902611e-03,3.814936876296997070e-01,3.367073535919189453e-01,5.434299111366271973e-01
9.744292497634887695e-01,7.847418785095214844e-01,2.480551749467849731e-01,6.756095215678215027e-03,1.782561838626861572e-01,6.396191716194152832e-01,4.693497717380523682e-02
5.339255332946777344e-01,8.493126630783081055e-01,2.224361449480056763e-01,5.744860172271728516e-01,1.514457464218139648e-01,1.391909867525100708e-01,2.038548469543457031e+00
9.410011172294616699e-01,3.182840049266815186e-01,1.970206052064895630e-01,9.753152728080749512e-01,2.212760597467422485e-01,9.445874691009521484e-01,3.416892606765031815e-03
1.344737038016319275e-02,5.998305082321166992e-01,2.283759415149688721e-01,9.884771108627319336e-01,6.458939313888549805e-01,2.106340825557708740e-01,1.519788801670074463e-02
4.619909524917602539e-01,5.744205117225646973e-01,1.925082355737686157e-01,8.016016483306884766e-01,3.300478458404541016e-01,9.665414094924926758e-01,4.534150660037994385e-02
