controllable,controllable,environmental,controllable,controllable,controllable,output
2.153172343969345093e-01,1.468827873468399048e-01,3.479586243629455566e-01,2.817479670047760010e-01,3.082687258720397949e-01,6.603211760520935059e-01,-3.203831672668457031e+00
4.046263098716735840e-01,8.822935223579406738e-01,1.138043701648712158e-01,5.738536119461059570e-01,1.493364125490188599e-01,3.865368291735649109e-02,-3.113312482833862305e+00
4.046662747859954834e-01,8.822952508926391602e-01,2.043923735618591309e-01,5.738787651062011719e-01,1.523317992687225342e-01,3.869518637657165527e-02,-3.133898496627807617e+00
2.131658196449279785e-01,1.471993327140808105e-01,3.660385608673095703e-01,2.808660566806793213e-01,3.087506592273712158e-01,6.597657799720764160e-01,-3.230800151824951172e+00
4.046090841293334961e-01,8.821973204612731934e-01,3.037690818309783936e-01,5.737832784652709961e-01,1.542639881372451782e-01,3.875394910573959351e-02,-3.153682947158813477e+00
4.046522974967956543e-01,8.823235630989074707e-01,7.783897966146469116e-02,5.738869905471801758e-01,1.484026461839675903e-01,3.864445909857749939e-02,-3.104466438293457031e+00
2.055383771657943726e-01,1.486888527870178223e-01,4.339361488819122314e-01,2.773417234420776367e-01,3.106278181076049805e-01,6.579326391220092773e-01,-3.306333541870117188e+00
2.083880901336669922e-01,1.480184793472290039e-01,4.072164297103881836e-01,2.787305712699890137e-01,3.098955452442169189e-01,6.585789918899536133e-01,-3.282534360885620117e+00
4.046300649642944336e-01,8.822431564331054688e-01,2.462936788797378540e-01,5.738272070884704590e-01,1.529799401760101318e-01,3.873444348573684692e-02,-3.142598867416381836e+00
4.046323299407958984e-01,8.822517991065979004e-01,2.692339420318603516e-01,5.738015770912170410e-01,1.536867767572402954e-01,3.874547779560089111e-02,-3.147141456604003906e+00
4.046463966369628906e-01,8.822651505470275879e-01,1.669197231531143188e-01,5.738279223442077637e-01,1.514802277088165283e-01,3.868853673338890076e-02,-3.125677585601806641e+00
4.046492576599121094e-01,8.823362588882446289e-01,6.916821002960205078e-02,5.738840103149414062e-01,1.485854387283325195e-01,3.863351047039031982e-02,-3.102276563644409180e+00
4.046376049518585205e-01,8.822407126426696777e-01,2.382546365261077881e-01,5.738089084625244141e-01,1.531680226325988770e-01,3.872190043330192566e-02,-3.140969991683959961e+00
2.169816642999649048e-01,1.467043310403823853e-01,3.342537879943847656e-01,2.823876440525054932e-01,3.079249858856201172e-01,6.607039570808410645e-01,-3.182092666625976562e+00
4.046134948730468750e-01,8.822151422500610352e-01,3.159125745296478271e-01,5.737797021865844727e-01,1.546844840049743652e-01,3.877827152609825134e-02,-3.155897617340087891e+00
4.046455025672912598e-01,8.822696805000305176e-01,1.812864989042282104e-01,5.738332271575927734e-01,1.515594422817230225e-01,3.868559375405311584e-02,-3.128878593444824219e+00
4.046480655670166016e-01,8.822674155235290527e-01,2.237231284379959106e-01,5.738295912742614746e-01,1.525026261806488037e-01,3.870911896228790283e-02,-3.137977123260498047e+00
4.046492874622344971e-01,8.822958469390869141e-01,1.335533261299133301e-01,5.738457441329956055e-01,1.501450240612030029e-01,3.866871818900108337e-02,-3.118007659912109375e+00
2.046957314014434814e-01,1.489244401454925537e-01,4.424895048141479492e-01,2.769162952899932861e-01,3.108551800251007080e-01,6.577563881874084473e-01,-3.311905384063720703e+00
4.046440124511718750e-01,8.823204040527343750e-01,9.162984043359756470e-02,5.738629698753356934e-01,1.485295444726943970e-01,3.863868117332458496e-02,-3.107903480529785156e+00
4.046744108200073242e-01,8.822972774505615234e-01,1.525845229625701904e-01,5.738694667816162109e-01,1.507837325334548950e-01,3.866798430681228638e-02,-3.122422695159912109e+00
2.065943330526351929e-01,1.484117954969406128e-01,4.237021803855895996e-01,2.778764963150024414e-01,3.103482127189636230e-01,6.581622958183288574e-01,-3.298302650451660156e+00
4.046038687229156494e-01,8.822349905967712402e-01,2.783113718032836914e-01,5.737681984901428223e-01,1.543143093585968018e-01,3.872301429510116577e-02,-3.148895502090454102e+00
2.020555585622787476e-01,1.498190909624099731e-01,4.719901680946350098e-01,2.755331397056579590e-01,3.115403354167938232e-01,6.572939157485961914e-01,-3.322144985198974609e+00
2.110457420349121094e-01,1.474612653255462646e-01,3.837843537330627441e-01,2.799512147903442383e-01,3.092219829559326172e-01,6.591923832893371582e-01,-3.254972457885742188e+00
