evaluation,mape
2.000000000000000000e+00,9.330572772656948732e-01
1.000000000000000000e+01,7.864098770641105851e-01
2.000000000000000000e+01,7.274515201470012071e-01
3.000000000000000000e+01,6.697324319639942347e-01
4.000000000000000000e+01,3.866899624803227242e-01
5.000000000000000000e+01,1.852881197591037810e-01
6.000000000000000000e+01,1.702676271188385548e-01
7.000000000000000000e+01,1.729508213965827712e-01
8.000000000000000000e+01,1.560758487478693668e-01
9.000000000000000000e+01,1.349976020925750253e-01
1.000000000000000000e+02,1.336185879789482667e-01
