controllable,controllable,environmental,controllable,controllable,controllable,output
2.019182741641998291e-01,1.499126404523849487e-01,4.736018180847167969e-01,2.754780054092407227e-01,3.115863502025604248e-01,6.573285460472106934e-01,-3.322267770767211914e+00
4.046310186386108398e-01,8.823850154876708984e-01,7.887052297592163086e-01,5.739524364471435547e-01,1.424864828586578369e-01,3.856286033987998962e-02,-3.202666997909545898e+00
4.046495258808135986e-01,8.824273943901062012e-01,8.296288251876831055e-01,5.739740729331970215e-01,1.399223655462265015e-01,3.851598501205444336e-02,-3.203121423721313477e+00
2.036917805671691895e-01,1.492390632629394531e-01,4.531363248825073242e-01,2.763959765434265137e-01,3.111174702644348145e-01,6.575691699981689453e-01,-3.317276954650878906e+00
4.046027958393096924e-01,8.822581768035888672e-01,6.816738843917846680e-01,5.738568902015686035e-01,1.485888063907623291e-01,3.869524598121643066e-02,-3.199004650115966797e+00
4.045895934104919434e-01,8.822146654129028320e-01,6.436692476272583008e-01,5.738304853439331055e-01,1.509009897708892822e-01,3.874482214450836182e-02,-3.196785926818847656e+00
2.056937813758850098e-01,1.486415416002273560e-01,4.323992729187011719e-01,2.774269282817840576e-01,3.105846345424652100e-01,6.579660773277282715e-01,-3.305219650268554688e+00
4.046177268028259277e-01,8.823108673095703125e-01,7.135937809944152832e-01,5.738614201545715332e-01,1.470689326524734497e-01,3.865073621273040771e-02,-3.200485467910766602e+00
4.046269655227661133e-01,8.823735713958740234e-01,7.771527767181396484e-01,5.739282369613647461e-01,1.423581987619400024e-01,3.857327252626419067e-02,-3.202446460723876953e+00
1.977452486753463745e-01,1.542508304119110107e-01,5.662756562232971191e-01,2.730674147605895996e-01,3.123935759067535400e-01,6.588131189346313477e-01,-3.238826513290405273e+00
4.046553671360015869e-01,8.824650049209594727e-01,8.560544848442077637e-01,5.739884972572326660e-01,1.382866799831390381e-01,3.848613798618316650e-02,-3.203147172927856445e+00
4.046627581119537354e-01,8.824712634086608887e-01,8.774727582931518555e-01,5.740147829055786133e-01,1.371107995510101318e-01,3.846490383148193359e-02,-3.203015089035034180e+00
4.046078622341156006e-01,8.822869062423706055e-01,6.984758377075195312e-01,5.738619565963745117e-01,1.479749381542205811e-01,3.867179900407791138e-02,-3.199826955795288086e+00
4.045900404453277588e-01,8.822082877159118652e-01,6.250429153442382812e-01,5.737988948822021484e-01,1.517974436283111572e-01,3.875384479761123657e-02,-3.195511102676391602e+00
1.981605440378189087e-01,1.529729366302490234e-01,5.439713001251220703e-01,2.732809484004974365e-01,3.124274313449859619e-01,6.579799056053161621e-01,-3.276085615158081055e+00
2.067406326532363892e-01,1.484822034835815430e-01,4.226841926574707031e-01,2.779473662376403809e-01,3.103072941303253174e-01,6.581582427024841309e-01,-3.297426700592041016e+00
4.046284854412078857e-01,8.823504447937011719e-01,7.528661489486694336e-01,5.739111304283142090e-01,1.447052806615829468e-01,3.860401362180709839e-02,-3.201848268508911133e+00
1.994644254446029663e-01,1.513548940420150757e-01,5.109491348266601562e-01,2.740827500820159912e-01,3.122103810310363770e-01,6.573389768600463867e-01,-3.310853719711303711e+00
2.090522795915603638e-01,1.478868424892425537e-01,4.013722240924835205e-01,2.790392637252807617e-01,3.097299933433532715e-01,6.587368249893188477e-01,-3.276184797286987305e+00
1.987437456846237183e-01,1.520610451698303223e-01,5.268015861511230469e-01,2.736180424690246582e-01,3.123850524425506592e-01,6.575964689254760742e-01,-3.297174930572509766e+00
4.046339094638824463e-01,8.823688030242919922e-01,7.383740544319152832e-01,5.738982558250427246e-01,1.455781310796737671e-01,3.863869234919548035e-02,-3.201403141021728516e+00
4.045879244804382324e-01,8.822016716003417969e-01,5.880286693572998047e-01,5.737402439117431641e-01,1.536661237478256226e-01,3.877827897667884827e-02,-3.192600488662719727e+00
2.003914415836334229e-01,1.507570445537567139e-01,4.950535595417022705e-01,2.746002972126007080e-01,3.119651377201080322e-01,6.572681069374084473e-01,-3.319161891937255859e+00
4.046371579170227051e-01,8.824041485786437988e-01,8.038316369056701660e-01,5.739309787750244141e-01,1.416387259960174561e-01,3.854681178927421570e-02,-3.202893972396850586e+00
4.045971930027008057e-01,8.821802139282226562e-01,6.138529181480407715e-01,5.737823247909545898e-01,1.522567719221115112e-01,3.877151384949684143e-02,-3.194684505462646484e+00
