controllable,controllable,environmental,controllable,controllable,controllable,output
7.821812412091588840e-01,2.430990516698801063e-01,9.442769354643539836e-01,4.929655003622382958e-01,3.370160835895734674e-01,4.789252223788359464e-01,3.299308201329456680e-01
1.867800392210483551e-02,9.408392310142517090e-01,9.889573454856872559e-01,3.458541352301836014e-03,6.209825873374938965e-01,1.300161629915237427e-01,1.046593300998210907e-02
8.930153846740722656e-01,4.209379255771636963e-01,9.523314833641052246e-01,4.949662089347839355e-01,3.432847857475280762e-01,3.990299403667449951e-01,1.279300302267074585e-01
5.136443376541137695e-01,2.799238264560699463e-01,9.465384483337402344e-01,4.142562150955200195e-01,5.786692500114440918e-01,4.238468408584594727e-01,2.045840620994567871e-01
9.444721341133117676e-01,2.095391005277633667e-01,9.909684062004089355e-01,7.648079395294189453e-01,3.821341395378112793e-01,5.308445096015930176e-01,3.843763843178749084e-02
8.748430609703063965e-01,4.576155841350555420e-01,1.000000000000000000e+00,9.561594724655151367e-01,9.178452491760253906e-01,9.058766961097717285e-01,2.896407153457403183e-03
3.885600268840789795e-01,3.498064279556274414e-01,1.000000000000000000e+00,4.128938019275665283e-01,9.791331365704536438e-03,2.472146786749362946e-02,2.608210146427154541e-01
8.072875738143920898e-01,2.450088411569595337e-01,1.000000000000000000e+00,7.727171182632446289e-01,2.023227363824844360e-01,3.143148422241210938e-01,1.842620782554149628e-02
5.769207328557968140e-02,4.058085680007934570e-01,1.000000000000000000e+00,3.547279536724090576e-02,1.761333202011883259e-03,3.960756957530975342e-01,7.692732661962509155e-02
4.751100540161132812e-01,9.468898177146911621e-01,1.000000000000000000e+00,1.275384128093719482e-01,9.078555703163146973e-01,8.857749402523040771e-02,3.501010239124298096e-01
5.480013489723205566e-01,4.508053660392761230e-01,1.000000000000000000e+00,7.029772996902465820e-01,6.833092570304870605e-01,2.691875696182250977e-01,2.006941288709640503e-01
4.381967484951019287e-01,5.454639792442321777e-01,9.713553786277770996e-01,5.654699206352233887e-01,6.755430102348327637e-01,7.751420140266418457e-02,1.198352932929992676e+00
3.990823030471801758e-01,8.504007011651992798e-02,1.000000000000000000e+00,7.638835906982421875e-01,5.570982694625854492e-01,7.534823566675186157e-02,1.636447012424468994e-02
8.656644821166992188e-01,6.332584619522094727e-01,1.000000000000000000e+00,8.987519145011901855e-01,5.018661022186279297e-01,4.419712126255035400e-01,5.004605744034051895e-03
8.973057270050048828e-01,5.053749084472656250e-01,1.000000000000000000e+00,3.595625460147857666e-01,4.917730093002319336e-01,1.956270635128021240e-02,1.490777079015970230e-02
1.106803193688392639e-01,9.815502166748046875e-01,1.000000000000000000e+00,7.829401493072509766e-01,4.664130210876464844e-01,1.551181674003601074e-01,3.597274720668792725e-01
1.557570695877075195e-01,9.364753961563110352e-01,1.000000000000000000e+00,6.888065338134765625e-01,3.632884472608566284e-03,7.105057239532470703e-01,2.255762740969657898e-02
2.448257617652416229e-02,2.131955139338970184e-02,1.000000000000000000e+00,4.897760152816772461e-01,5.910337567329406738e-01,8.753392100334167480e-01,1.664504259824752808e-01
1.760838329792022705e-01,1.522525772452354431e-02,1.000000000000000000e+00,7.987114787101745605e-02,8.846436142921447754e-01,1.161601841449737549e-01,5.821502301841974258e-03
5.794596076011657715e-01,7.821941971778869629e-01,9.529716968536376953e-01,4.773813486099243164e-01,4.688139259815216064e-01,9.924564361572265625e-01,1.319466084241867065e-01
