evaluation,mape
2.000000000000000000e+00,8.186653119348781260e-01
1.000000000000000000e+01,7.696294787651374314e-01
2.000000000000000000e+01,6.571807677416700022e-01
3.000000000000000000e+01,5.629533490232140336e-01
4.000000000000000000e+01,5.564652294825319645e-01
5.000000000000000000e+01,2.317843416819660995e-01
6.000000000000000000e+01,1.647156043805321768e-01
7.000000000000000000e+01,1.513919065113002449e-01
8.000000000000000000e+01,1.357828076279269103e-01
9.000000000000000000e+01,1.274465048077291496e-01
1.000000000000000000e+02,1.112322791821281076e-01
