evaluation,mape
2.000000000000000000e+00,8.005810543732657658e-01
1.000000000000000000e+01,7.640440369475695048e-01
2.000000000000000000e+01,6.937173874055727607e-01
3.000000000000000000e+01,5.613971301172245854e-01
4.000000000000000000e+01,4.469464758265864202e-01
5.000000000000000000e+01,3.524380949000806007e-01
6.000000000000000000e+01,2.401034877731598738e-01
7.000000000000000000e+01,1.524202943215031136e-01
8.000000000000000000e+01,7.747404506286993675e-02
9.000000000000000000e+01,3.706416717253409321e-02
1.000000000000000000e+02,3.386323463607863321e-02
