evaluation,mae
2.000000000000000000e+00,1.271123776435852060e+00
1.000000000000000000e+01,1.010605734586715654e+00
2.000000000000000000e+01,8.503350210189819514e-01
3.000000000000000000e+01,5.431338047981262296e-01
4.000000000000000000e+01,3.572644531726837380e-01
5.000000000000000000e+01,1.363303983211517356e-01
6.000000000000000000e+01,1.386956799030303888e-01
7.000000000000000000e+01,1.397268247604370184e-01
8.000000000000000000e+01,1.397859799861908003e-01
9.000000000000000000e+01,1.475354254245758168e-01
1.000000000000000000e+02,1.556735348701477062e-01
