dynamic,controllable,controllable,dynamic,controllable,dynamic,output
5.053035877370142259e-01,2.666655202159822213e-01,9.670346580668278680e-01,3.716942701915425529e-01,8.510612535383618171e-01,4.612089591555799117e-01,1.945858937470550457e-02
4.582048654556274414e-01,1.419270932674407959e-01,2.496719956398010254e-01,3.275805115699768066e-01,8.421842455863952637e-01,4.821703135967254639e-01,5.967266112565994263e-02
5.159566402435302734e-01,9.055082798004150391e-01,1.138338595628738403e-01,4.272203147411346436e-01,4.575797915458679199e-02,4.557228982448577881e-01,2.287726402282714844e-01
4.919847846031188965e-01,1.917903497815132141e-02,6.576591134071350098e-01,4.767766892910003662e-01,1.163987219333648682e-01,4.992756247520446777e-01,6.563882231712341309e-01
4.848214387893676758e-01,0.000000000000000000e+00,8.559973835945129395e-01,4.277584254741668701e-01,1.419712454080581665e-01,4.551500976085662842e-01,5.697200894355773926e-01
3.863644301891326904e-01,0.000000000000000000e+00,9.645752906799316406e-01,3.553990423679351807e-01,7.672142982482910156e-02,5.033038258552551270e-01,4.528310000896453857e-01
4.466179609298706055e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.433484733104705811e-01,1.166329383850097656e-01,5.165873765945434570e-01,1.371159553527832031e-01
4.631416797637939453e-01,1.000000000000000000e+00,6.490455308835642305e-21,3.580260872840881348e-01,1.000000000000000000e+00,4.803005754947662354e-01,9.768231958150863647e-02
5.473307371139526367e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.237239956855773926e-01,0.000000000000000000e+00,5.077463388442993164e-01,2.375698536634445190e-01
5.467033386230468750e-01,0.000000000000000000e+00,6.380110383033752441e-01,3.375838696956634521e-01,1.400942504405975342e-01,5.487003922462463379e-01,1.052274227142333984e+00
5.855383872985839844e-01,0.000000000000000000e+00,5.834075808525085449e-01,2.724722623825073242e-01,1.738117039203643799e-01,5.681386590003967285e-01,1.265894174575805664e+00
6.325754523277282715e-01,0.000000000000000000e+00,2.573271095752716064e-01,3.607901632785797119e-01,2.151496261358261108e-01,5.936401486396789551e-01,1.362742662429809570e+00
6.877909898757934570e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.074620068073272705e-01,2.712888121604919434e-01,5.515652298927307129e-01,6.577056050300598145e-01
7.690426707267761230e-01,2.348267138004302979e-01,0.000000000000000000e+00,2.166528552770614624e-01,1.920118927955627441e-01,5.557959079742431641e-01,6.982747912406921387e-01
8.187171220779418945e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.035075366497039795e-01,1.890871077775955200e-01,5.685836076736450195e-01,5.988711118698120117e-01
8.542416095733642578e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.600752413272857666e-01,2.055363170802593231e-02,6.075719594955444336e-01,1.176577154546976089e-02
8.663637638092041016e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.531373739242553711e-01,5.676442384719848633e-01,5.885314345359802246e-01,1.670373789966106415e-02
9.328099489212036133e-01,3.094682237133383751e-03,2.075900584459304810e-01,3.385632932186126709e-01,1.000000000000000000e+00,5.734230875968933105e-01,2.768256235867738724e-04
9.516596794128417969e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.432417511940002441e-01,3.074140846729278564e-01,5.737648606300354004e-01,3.673913329839706421e-02
9.465701580047607422e-01,1.585179939866065979e-02,9.393590092658996582e-01,2.442574799060821533e-01,6.824861764907836914e-01,5.518820285797119141e-01,2.782296203076839447e-02
