dynamic,controllable,controllable,dynamic,controllable,dynamic,output
3.682283766187754992e-02,3.058446959202898441e-01,3.502430928945078348e-01,3.055786862055215325e-01,9.294115545603686135e-01,4.377440533927736688e-01,2.570222775342633215e-01
4.001636058092117310e-02,7.751352190971374512e-01,9.556995630264282227e-01,2.292034626007080078e-01,2.358867228031158447e-02,4.387437999248504639e-01,7.761944085359573364e-02
9.068460762500762939e-02,3.420617282390594482e-01,3.008518815040588379e-01,3.040572106838226318e-01,9.431477785110473633e-01,4.790757298469543457e-01,1.981927007436752319e-01
4.332472104579210281e-03,3.831697255373001099e-02,7.096595764160156250e-01,3.093268871307373047e-01,8.327175378799438477e-01,5.094236731529235840e-01,3.941026031970977783e-01
8.458045125007629395e-02,0.000000000000000000e+00,1.363119451386443602e-17,3.435842990875244141e-01,0.000000000000000000e+00,5.329186320304870605e-01,3.680837750434875488e-01
3.297349810600280762e-02,1.021074503660202026e-01,1.000000000000000000e+00,4.096061289310455322e-01,1.000000000000000000e+00,4.837786555290222168e-01,1.629632711410522461e-02
2.559527382254600525e-02,1.064552441239356995e-01,6.222172975540161133e-01,4.622159600257873535e-01,7.622036933898925781e-01,5.009506344795227051e-01,4.174692332744598389e-01
0.000000000000000000e+00,9.846400618553161621e-01,6.304946541786193848e-02,3.720185458660125732e-01,9.991530776023864746e-01,4.656557142734527588e-01,9.366332553327083588e-03
2.222788333892822266e-02,4.450936685316264629e-04,4.282427728176116943e-01,3.598041236400604248e-01,1.329677402973175049e-01,5.065674781799316406e-01,1.303472638130187988e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.794303297996520996e-01,3.115907609462738037e-01,1.508287787437438965e-01,5.062256455421447754e-01,1.338682293891906738e+00
7.524059712886810303e-02,0.000000000000000000e+00,1.000000000000000000e+00,2.803809046745300293e-01,2.080297321081161499e-01,4.792822003364562988e-01,8.328987360000610352e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.389587402343750000e-01,1.464564949274063110e-01,5.171907544136047363e-01,8.938626199960708618e-02
7.199576497077941895e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.009765982627868652e-01,1.422975510358810425e-01,5.561789274215698242e-01,1.067801117897033691e+00
8.318076282739639282e-02,2.795342504978179932e-01,1.000000000000000000e+00,3.165198266506195068e-01,1.453907340764999390e-01,5.455143451690673828e-01,7.855334877967834473e-01
5.679812282323837280e-02,0.000000000000000000e+00,7.260815706104040146e-03,3.177881836891174316e-01,4.693358242511749268e-01,5.041769742965698242e-01,1.055353641510009766e+00
1.521221846342086792e-01,4.503456354141235352e-01,0.000000000000000000e+00,2.897620797157287598e-01,5.082316994667053223e-01,5.420209765434265137e-01,7.581383585929870605e-01
8.608243614435195923e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.750820457935333252e-01,3.826005756855010986e-01,5.792036652565002441e-01,1.667931914329528809e+00
1.053155362606048584e-01,0.000000000000000000e+00,7.218508422374725342e-02,3.050755262374877930e-01,3.205935359001159668e-01,5.581605434417724609e-01,2.110013723373413086e+00
1.664071716368198395e-02,0.000000000000000000e+00,1.915191113948822021e-01,3.062014281749725342e-01,2.985101640224456787e-01,5.264775753021240234e-01,2.012631893157958984e+00
5.229447036981582642e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.686317801475524902e-01,2.980687320232391357e-01,5.725264549255371094e-01,1.788574218750000000e+00
1.431668996810913086e-01,0.000000000000000000e+00,2.960017919540405273e-01,4.609811007976531982e-01,3.208433091640472412e-01,5.364813804626464844e-01,1.840034484863281250e+00
6.945500522851943970e-02,2.413414418697357178e-01,2.191170901060104370e-01,3.759056925773620605e-01,3.165074288845062256e-01,5.409126877784729004e-01,2.175119400024414062e+00
