evaluation,mae
2.000000000000000000e+00,6.831135708590349020e-01
1.000000000000000000e+01,6.273706373075643716e-01
2.000000000000000000e+01,4.309517886737982417e-01
3.000000000000000000e+01,3.940918255845705653e-01
4.000000000000000000e+01,4.729214915136496500e-01
5.000000000000000000e+01,4.533898633221785102e-01
6.000000000000000000e+01,2.484561899304389976e-01
7.000000000000000000e+01,2.362635237971941748e-01
8.000000000000000000e+01,2.066516150161623877e-01
9.000000000000000000e+01,2.080593840281168561e-01
1.000000000000000000e+02,2.125191424538691864e-01
