evaluation,mae
2.000000000000000000e+00,1.108156789739926706e+00
1.000000000000000000e+01,7.090057734648386178e-01
2.000000000000000000e+01,6.890442776679992498e-01
3.000000000000000000e+01,6.128020646174748842e-01
4.000000000000000000e+01,1.784474273522694832e-01
5.000000000000000000e+01,2.032100582122802757e-01
6.000000000000000000e+01,2.379416386286417606e-01
7.000000000000000000e+01,2.305420509974161758e-01
8.000000000000000000e+01,2.253103939692179258e-01
9.000000000000000000e+01,2.132003664970398005e-01
1.000000000000000000e+02,1.725964617729187078e-01
