dynamic,controllable,controllable,dynamic,controllable,dynamic,output
4.561190038570671068e-01,1.536186337471008301e-01,4.669201076030731201e-01,1.100084243117373378e-01,3.082958161830902100e-01,7.380312955043208945e-01,-1.937375545501708984e+00
4.349646236210321093e-01,3.558568358421325684e-01,7.910563945770263672e-01,1.855285205327781295e-01,2.279524654150009155e-01,9.432803928250528269e-01,-1.688878178596496582e+00
4.795461538425374592e-01,3.547889590263366699e-01,7.873551249504089355e-01,4.531463022441419020e-02,2.291243374347686768e-01,8.625191133699754431e-01,-1.352519273757934570e+00
3.662469426503413977e-02,1.549943983554840088e-01,5.024975538253784180e-01,1.560644351425813370e-01,3.148984611034393311e-01,7.072804380332327057e-01,-2.601370811462402344e+00
5.983726455002432582e-02,1.651425510644912720e-01,5.194792151451110840e-01,1.345385602325636643e-01,3.134216666221618652e-01,7.961971688828431981e-01,-2.236266851425170898e+00
1.034255076392449763e-01,1.519939601421356201e-01,4.923452138900756836e-01,2.067516293755034540e-01,3.138668537139892578e-01,6.761987773855959727e-01,-3.070350170135498047e+00
1.797514631386394057e-01,1.515196263790130615e-01,4.847215712070465088e-01,2.329329061301489701e-01,3.123378455638885498e-01,6.920571021750646645e-01,-3.233262300491333008e+00
1.973294213688214227e-01,1.511867493391036987e-01,4.951463639736175537e-01,1.667892196027847829e-01,3.151962459087371826e-01,6.283374092883409201e-01,-2.987120389938354492e+00
4.209158816348613219e-01,1.516487896442413330e-01,4.370299875736236572e-01,3.493380655564624071e-01,3.062964379787445068e-01,7.976421878156765288e-01,-2.353309392929077148e+00
2.107388537773432213e-01,1.508184224367141724e-01,4.800310730934143066e-01,2.450173642692222986e-01,3.117910027503967285e-01,6.822300538553406346e-01,-3.277592897415161133e+00
2.293792656790770990e-01,3.618032634258270264e-01,7.942381501197814941e-01,3.240095691504160103e-01,2.211828529834747314e-01,9.954164964136609228e-01,-1.716040253639221191e+00
1.323149393859453515e-01,1.871878802776336670e-01,5.565106272697448730e-01,2.457177781612965295e-02,3.166674375534057617e-01,8.119899194736526216e-01,-1.639111399650573730e+00
4.188511649195990338e-02,1.619804054498672485e-01,5.025676488876342773e-01,2.465086895699119818e-01,3.099108934402465820e-01,8.218393011473043019e-01,-2.424115896224975586e+00
2.126110728975924291e-01,1.527354270219802856e-01,5.039514899253845215e-01,1.155953695732034603e-01,3.171359896659851074e-01,6.413529357164929889e-01,-2.672126770019531250e+00
1.210561648143036739e-01,3.435159325599670410e-01,7.767813801765441895e-01,3.365124988339022738e-01,2.400783598423004150e-01,9.526374004462199174e-01,-1.824272036552429199e+00
2.640179579148778655e-01,1.552721560001373291e-01,4.744351208209991455e-01,3.100355038713106803e-01,3.084730505943298340e-01,8.073627869890211972e-01,-2.733305215835571289e+00
2.009889138571288036e-01,3.766152560710906982e-01,8.012282252311706543e-01,8.703002910591832453e-02,2.000437676906585693e-01,9.765693832998407764e-01,-1.554531097412109375e+00
2.459096288257872076e-01,1.565226316452026367e-01,5.064966082572937012e-01,1.026308222683965238e-01,3.152064085006713867e-01,7.200948834180738167e-01,-2.464564323425292969e+00
3.425892700727528606e-01,3.557784259319305420e-01,7.910817861557006836e-01,3.766901938266969396e-01,2.280362397432327271e-01,9.612511238842659234e-01,-1.738600611686706543e+00
3.637593219229158237e-01,1.498467177152633667e-01,4.456530213356018066e-01,3.175016050158970260e-01,3.077497780323028564e-01,7.342934987421412263e-01,-2.876267671585083008e+00
2.776756755341484584e-01,1.504846066236495972e-01,4.813028275966644287e-01,1.896115703902461758e-01,3.122304379940032959e-01,6.545572976352115324e-01,-3.038328170776367188e+00
4.264076236617042603e-01,3.363333344459533691e-01,7.758964896202087402e-01,3.588008501285805396e-01,2.457608282566070557e-01,9.186740613611830142e-01,-1.787448048591613770e+00
2.671291092092581421e-02,3.908462822437286377e-01,8.101796507835388184e-01,7.532210495097570700e-03,1.717590093612670898e-01,9.562860637397500030e-01,-1.389419674873352051e+00
1.142081437222681739e-01,3.837080299854278564e-01,8.059514164924621582e-01,6.300431546148756168e-02,1.872241646051406860e-01,9.806005388595226968e-01,-1.490996837615966797e+00
3.882906493539943771e-01,3.021533787250518799e-01,7.264071702957153320e-01,7.394065694088119978e-02,2.685763835906982422e-01,8.486756795301237943e-01,-1.561185359954833984e+00
1.674036894062161385e-01,3.252588510513305664e-01,7.576839923858642578e-01,2.930420449071262090e-01,2.543113529682159424e-01,9.374660277770671124e-01,-1.926583170890808105e+00
2.065880725293844575e-02,3.006528913974761963e-01,7.229290604591369629e-01,1.956412593640112219e-01,2.695619761943817139e-01,8.939184788859315667e-01,-1.841816544532775879e+00
4.633238106274538137e-01,1.494178622961044312e-01,4.264422059059143066e-01,2.667867019546099616e-01,3.064427971839904785e-01,7.529422317293525957e-01,-2.488913297653198242e+00
9.497011982788294837e-02,3.157665133476257324e-01,7.372380495071411133e-01,1.407021902201314734e-01,2.614347636699676514e-01,9.014330417872893353e-01,-1.786495089530944824e+00
4.137770421026940593e-01,1.546587347984313965e-01,4.481983780860900879e-01,3.837115239471332595e-01,3.059107363224029541e-01,8.273288011374518858e-01,-2.097660303115844727e+00
