evaluation,mae
2.000000000000000000e+00,1.296943732400735128e+00
1.000000000000000000e+01,4.249095535278320512e-01
2.000000000000000000e+01,4.319615308443705004e-01
3.000000000000000000e+01,4.535172794262568030e-01
4.000000000000000000e+01,5.055128580331802457e-01
5.000000000000000000e+01,4.673840216795603353e-01
6.000000000000000000e+01,3.199044052759806300e-01
7.000000000000000000e+01,3.557942803700764878e-01
8.000000000000000000e+01,3.586967551708221680e-01
9.000000000000000000e+01,3.452555259068806892e-01
1.000000000000000000e+02,2.861942390600840103e-01
