evaluation,mape
2.000000000000000000e+00,6.331362482196276620e-01
1.000000000000000000e+01,3.087673708563966612e-01
2.000000000000000000e+01,3.825998360305875035e-01
3.000000000000000000e+01,6.470415846971727669e-02
4.000000000000000000e+01,6.910170373471047345e-02
5.000000000000000000e+01,7.224103229670510162e-02
6.000000000000000000e+01,7.297893538424445048e-02
7.000000000000000000e+01,5.016440832071325517e-02
8.000000000000000000e+01,5.142757140444621788e-02
9.000000000000000000e+01,5.292018730652303660e-02
1.000000000000000000e+02,5.151203239925372657e-02
