environmental,controllable,controllable,environmental,controllable,environmental,output
2.347049862146377563e-01,1.498979032039642334e-01,4.703438282012939453e-01,5.265436768531799316e-01,3.107635974884033203e-01,6.030318140983581543e-01,-1.813140153884887695e+00
2.492304742336273193e-01,1.487248539924621582e-01,4.757647216320037842e-01,2.902024686336517334e-01,3.123377263545989990e-01,5.083897709846496582e-01,-2.758698701858520508e+00
1.405865997076034546e-01,1.490683853626251221e-01,4.771434068679809570e-01,4.634961187839508057e-01,3.123266100883483887e-01,5.250125527381896973e-01,-2.060343503952026367e+00
1.806611120700836182e-01,1.499371379613876343e-01,4.973174035549163818e-01,2.057421952486038208e-01,3.169708549976348877e-01,4.458056092262268066e-01,-2.259832382202148438e+00
3.215489163994789124e-02,1.539430320262908936e-01,5.239312648773193359e-01,3.815850242972373962e-02,3.289963901042938232e-01,5.240274071693420410e-01,-1.704248428344726562e+00
2.122381776571273804e-01,1.513991057872772217e-01,4.958690106868743896e-01,1.564446240663528442e-01,3.152571022510528564e-01,6.315506696701049805e-01,-2.927754402160644531e+00
1.840320182964205742e-03,1.492670178413391113e-01,4.850377142429351807e-01,2.637289166450500488e-01,3.137401938438415527e-01,5.435755848884582520e-01,-2.574418306350708008e+00
2.542994618415832520e-01,1.489838063716888428e-01,4.627469480037689209e-01,4.564186036586761475e-01,3.100763261318206787e-01,6.109487414360046387e-01,-2.399029493331909180e+00
2.231492549180984497e-01,1.517810672521591187e-01,4.777344167232513428e-01,4.382824599742889404e-01,3.127858042716979980e-01,4.018883705139160156e-01,-1.552543401718139648e+00
3.187865614891052246e-01,1.513766348361968994e-01,5.106331706047058105e-01,5.545225366950035095e-02,3.216497302055358887e-01,4.378005862236022949e-01,-1.441355109214782715e+00
2.731115520000457764e-01,1.496756672859191895e-01,4.874441623687744141e-01,1.721995472908020020e-01,3.140856921672821045e-01,5.735066533088684082e-01,-2.805284500122070312e+00
2.565678656101226807e-01,1.535055637359619141e-01,5.095124840736389160e-01,7.065576314926147461e-02,3.190309703350067139e-01,6.274762153625488281e-01,-2.288649797439575195e+00
2.420736998319625854e-01,1.501735150814056396e-01,4.993375241756439209e-01,1.596374213695526123e-01,3.175351619720458984e-01,4.502628445625305176e-01,-2.116898059844970703e+00
1.074901521205902100e-01,1.519649922847747803e-01,5.142576694488525391e-01,9.952057152986526489e-02,3.230927586555480957e-01,5.123455524444580078e-01,-2.161608219146728516e+00
6.306799501180648804e-02,1.532600373029708862e-01,5.248598456382751465e-01,5.197291821241378784e-02,3.309903144836425781e-01,4.263840615749359131e-01,-1.432533144950866699e+00
3.111559152603149414e-01,1.483141034841537476e-01,4.666108191013336182e-01,2.783842384815216064e-01,3.110238909721374512e-01,5.159968137741088867e-01,-2.710769176483154297e+00
2.444053813815116882e-02,1.489996165037155151e-01,4.854010641574859619e-01,3.613995015621185303e-01,3.141894638538360596e-01,4.052374362945556641e-01,-1.666985988616943359e+00
