evaluation,mape
2.000000000000000000e+00,9.732933905490369630e-01
1.000000000000000000e+01,7.545704012867114896e-01
2.000000000000000000e+01,5.402161603182981109e-01
3.000000000000000000e+01,5.178797907378974719e-01
4.000000000000000000e+01,4.341508649016310728e-01
5.000000000000000000e+01,3.491232033221745579e-01
6.000000000000000000e+01,3.382588823997083050e-01
7.000000000000000000e+01,4.162629558652893857e-01
8.000000000000000000e+01,3.606303915352401801e-01
9.000000000000000000e+01,2.749782214975032280e-01
1.000000000000000000e+02,7.309204222959848896e-02
