controllable,controllable,dynamic,controllable,controllable,controllable,output
5.951057930949686936e-01,4.198110615713148697e-01,3.210828197332570300e-01,9.425241135572304252e-02,8.121304465763923286e-01,7.651930301674627621e-01,4.100234755484978566e-02
8.361229896545410156e-01,2.656227350234985352e-01,3.306834995746612549e-01,1.674028784036636353e-01,8.572874665260314941e-01,9.203749299049377441e-01,3.952363971620798111e-03
1.190759539604187012e-01,9.534231424331665039e-01,2.989159524440765381e-01,6.129441261291503906e-01,8.191249519586563110e-02,1.171617861837148666e-02,7.390454411506652832e-01
1.000000000000000000e+00,0.000000000000000000e+00,3.425629734992980957e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.096932567656040192e-02
1.000000000000000000e+00,0.000000000000000000e+00,3.157772421836853027e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.284078552998835221e-05
0.000000000000000000e+00,1.000000000000000000e+00,3.179553151130676270e-01,7.814708352088928223e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.113213896751403809e-01
1.442377120256423950e-01,9.536854624748229980e-01,3.409786820411682129e-01,5.617013573646545410e-01,9.069097787141799927e-02,0.000000000000000000e+00,9.382083415985107422e-01
0.000000000000000000e+00,1.000000000000000000e+00,3.796025216579437256e-01,5.068613886833190918e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.648686975240707397e-01
1.621205359697341919e-01,9.428293704986572266e-01,3.731595873832702637e-01,0.000000000000000000e+00,1.127492487430572510e-01,5.583808757364749908e-03,4.595396667718887329e-02
1.808720529079437256e-01,9.414756298065185547e-01,3.502463400363922119e-01,5.775527954101562500e-01,1.138093546032905579e-01,2.844924165401607752e-04,1.287061810493469238e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.675008118152618408e-01,5.841153860092163086e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.101394708617590368e-05
2.043330520391464233e-01,9.322500228881835938e-01,3.225079178810119629e-01,6.311205625534057617e-01,1.295399665832519531e-01,1.964133232831954956e-03,1.487189888954162598e+00
2.421790510416030884e-01,9.282884597778320312e-01,3.517847657203674316e-01,6.948421597480773926e-01,1.439259201288223267e-01,0.000000000000000000e+00,1.680742263793945312e+00
2.806040942668914795e-01,0.000000000000000000e+00,3.089441061019897461e-01,6.987138986587524414e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.640864070504903793e-03
2.909667193889617920e-01,9.792762994766235352e-01,3.082145154476165771e-01,6.714826226234436035e-01,1.211929097771644592e-01,0.000000000000000000e+00,2.093049049377441406e+00
3.380875289440155029e-01,1.000000000000000000e+00,2.944746315479278564e-01,6.246067881584167480e-01,9.863441437482833862e-02,3.083333373069763184e-03,2.507013559341430664e+00
4.203455746173858643e-01,1.000000000000000000e+00,2.480853348970413208e-01,5.614551901817321777e-01,6.371002644300460815e-02,0.000000000000000000e+00,2.739577293395996094e+00
4.279298186302185059e-01,1.000000000000000000e+00,2.490156739950180054e-01,6.083445549011230469e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.550470763817429543e-04
4.211665093898773193e-01,0.000000000000000000e+00,2.652311027050018311e-01,5.610560178756713867e-01,1.306347995996475220e-01,1.000000000000000000e+00,2.914016842842102051e-01
4.184060990810394287e-01,1.000000000000000000e+00,2.761512398719787598e-01,5.538281202316284180e-01,1.262615919113159180e-01,1.000000000000000000e+00,2.515973709523677826e-02
4.102133512496948242e-01,1.000000000000000000e+00,2.682239711284637451e-01,5.513936877250671387e-01,0.000000000000000000e+00,8.495841175317764282e-02,2.712545394897460938e+00
3.995142877101898193e-01,1.000000000000000000e+00,2.918481826782226562e-01,5.162940621376037598e-01,1.000000000000000000e+00,1.008094474673271179e-02,2.489549875259399414e+00
