controllable,controllable,dynamic,controllable,controllable,controllable,output
2.107542157173156738e-01,1.475732773542404175e-01,3.865116540438696680e-01,2.798121869564056396e-01,3.093139827251434326e-01,6.591580510139465332e-01,-3.258454322814941406e+00
4.046409726142883301e-01,8.822471499443054199e-01,2.256630417707068681e-01,5.738141536712646484e-01,1.526087522506713867e-01,3.871378675103187561e-02,-3.138380289077758789e+00
2.060897201299667358e-01,1.485414206981658936e-01,4.285559226448955039e-01,2.776234745979309082e-01,3.104836642742156982e-01,6.580501794815063477e-01,-3.302289724349975586e+00
4.046471118927001953e-01,8.822779655456542969e-01,1.267169413524249777e-01,5.738523006439208984e-01,1.497717648744583130e-01,3.866013139486312866e-02,-3.116395473480224609e+00
2.037769407033920288e-01,1.492061913013458252e-01,4.521788903124212000e-01,2.764488458633422852e-01,3.110943734645843506e-01,6.575894355773925781e-01,-3.316868066787719727e+00
4.046538770198822021e-01,8.823205232620239258e-01,8.126586095833487899e-02,5.738753676414489746e-01,1.485206484794616699e-01,3.863302618265151978e-02,-3.105325698852539062e+00
4.046435952186584473e-01,8.822534680366516113e-01,2.096611793652155276e-01,5.738183259963989258e-01,1.522216200828552246e-01,3.870359063148498535e-02,-3.135021209716796875e+00
2.172100841999053955e-01,1.466483175754547119e-01,3.318411458272075842e-01,2.824995815753936768e-01,3.078542649745941162e-01,6.607937812805175781e-01,-3.178164482116699219e+00
2.070161849260330200e-01,1.483180969953536987e-01,4.197609548104497823e-01,2.780767381191253662e-01,3.102439045906066895e-01,6.582576632499694824e-01,-3.294837474822998047e+00
2.021936327219009399e-01,1.497889757156372070e-01,4.704852081865725788e-01,2.756072282791137695e-01,3.115174472332000732e-01,6.573533415794372559e-01,-3.321987390518188477e+00
4.046464264392852783e-01,8.822745680809020996e-01,1.677723159933074970e-01,5.738350749015808105e-01,1.511394530534744263e-01,3.868282213807106018e-02,-3.125869274139404297e+00
4.046527445316314697e-01,8.823049664497375488e-01,1.087904118001560283e-01,5.738622546195983887e-01,1.494076997041702271e-01,3.864884003996849060e-02,-3.112102270126342773e+00
2.148755043745040894e-01,1.469416916370391846e-01,3.516839523725601713e-01,2.815696597099304199e-01,3.083617687225341797e-01,6.602002978324890137e-01,-3.209558725357055664e+00
4.046314358711242676e-01,8.822268247604370117e-01,2.713433552062359810e-01,5.737971067428588867e-01,1.536433696746826172e-01,3.873794525861740112e-02,-3.147551298141479492e+00
4.046492874622344971e-01,8.822891116142272949e-01,1.414181451803115386e-01,5.738484263420104980e-01,1.504126340150833130e-01,3.866739198565483093e-02,-3.119845151901245117e+00
4.046306610107421875e-01,8.822105526924133301e-01,3.037821129479915117e-01,5.737782120704650879e-01,1.541822403669357300e-01,3.875385224819183350e-02,-3.153685331344604492e+00
2.085683047771453857e-01,1.479779332876205444e-01,4.054118933735972319e-01,2.788252234458923340e-01,3.098450303077697754e-01,6.586270332336425781e-01,-3.280613660812377930e+00
4.046291708946228027e-01,8.822217583656311035e-01,2.825069579215843674e-01,5.737929940223693848e-01,1.538689285516738892e-01,3.874335065484046936e-02,-3.149698019027709961e+00
4.046529829502105713e-01,8.823122978210449219e-01,9.630240026353800720e-02,5.738680958747863770e-01,1.490167528390884399e-01,3.864175453782081604e-02,-3.109055519104003906e+00
4.046425223350524902e-01,8.822597265243530273e-01,2.019662714578565887e-01,5.738235712051391602e-01,1.520530283451080322e-01,3.870057687163352966e-02,-3.133378982543945312e+00
2.186416685581207275e-01,1.464759856462478638e-01,3.194420397799893063e-01,2.830483019351959229e-01,3.075571954250335693e-01,6.611546277999877930e-01,-3.157549142837524414e+00
4.046546518802642822e-01,8.823243975639343262e-01,7.314968378335219568e-02,5.738791823387145996e-01,1.482353657484054565e-01,3.862801194190979004e-02,-3.103284835815429688e+00
2.127950787544250488e-01,1.472407281398773193e-01,3.691843246912217547e-01,2.807018756866455078e-01,3.088327944278717041e-01,6.596721410751342773e-01,-3.235264778137207031e+00
4.046360254287719727e-01,8.822382092475891113e-01,2.461197818584631436e-01,5.738060474395751953e-01,1.530916988849639893e-01,3.872453048825263977e-02,-3.142564058303833008e+00
4.046444594860076904e-01,8.822667002677917480e-01,1.871241830767604586e-01,5.738295912742614746e-01,1.516729444265365601e-01,3.869254887104034424e-02,-3.130161762237548828e+00
