evaluation,mae
2.000000000000000000e+00,3.109622290879487938e+00
1.000000000000000000e+01,1.543719248771667552e+00
2.000000000000000000e+01,1.917428722381591788e+00
3.000000000000000000e+01,2.360465717315673728e-01
4.000000000000000000e+01,2.393390941619873147e-01
5.000000000000000000e+01,2.431675624847412231e-01
6.000000000000000000e+01,2.396648406982421764e-01
7.000000000000000000e+01,2.414885139465332009e-01
8.000000000000000000e+01,2.434642791748046764e-01
9.000000000000000000e+01,2.458728694915771618e-01
1.000000000000000000e+02,2.459672355651855435e-01
