controllable,controllable,dynamic,controllable,controllable,controllable,output
4.046552479267120361e-01,8.823328018188476562e-01,5.848507172648711311e-02,5.738864541053771973e-01,1.477286070585250854e-01,3.861909359693527222e-02,-3.099548101425170898e+00
4.046477675437927246e-01,8.822819590568542480e-01,1.559888738753455739e-01,5.738424658775329590e-01,1.508280485868453979e-01,3.867545723915100098e-02,-3.123201131820678711e+00
4.046413302421569824e-01,8.822542428970336914e-01,2.120920672309944688e-01,5.738200545310974121e-01,1.523012518882751465e-01,3.870572522282600403e-02,-3.135536432266235352e+00
4.046529531478881836e-01,8.823119401931762695e-01,9.623260911957909336e-02,5.738683938980102539e-01,1.490131914615631104e-01,3.864167258143424988e-02,-3.109038352966308594e+00
4.046353399753570557e-01,8.822369575500488281e-01,2.497771901904395075e-01,5.738055109977722168e-01,1.531792581081390381e-01,3.872630000114440918e-02,-3.143298864364624023e+00
4.046218693256378174e-01,8.822056055068969727e-01,3.172711165156061885e-01,5.737801194190979004e-01,1.545281410217285156e-01,3.876252099871635437e-02,-3.156142473220825195e+00
4.046519398689270020e-01,8.823035955429077148e-01,1.084720114587479217e-01,5.738633275032043457e-01,1.494340747594833374e-01,3.864919766783714294e-02,-3.112025260925292969e+00
4.046447873115539551e-01,8.822698593139648438e-01,1.835395918105136304e-01,5.738306641578674316e-01,1.516070812940597534e-01,3.868988901376724243e-02,-3.129374980926513672e+00
4.046483337879180908e-01,8.822850584983825684e-01,1.485218782138000293e-01,5.738454461097717285e-01,1.506183743476867676e-01,3.867126256227493286e-02,-3.121489286422729492e+00
4.046271443367004395e-01,8.822168707847595215e-01,2.926832077688532596e-01,5.737894773483276367e-01,1.540711969137191772e-01,3.874948993325233459e-02,-3.151622295379638672e+00
4.046434760093688965e-01,8.822630643844604492e-01,1.948034819920048955e-01,5.738265514373779297e-01,1.518731415271759033e-01,3.869666904211044312e-02,-3.131834506988525391e+00
4.046560227870941162e-01,8.823359012603759766e-01,5.064018858251027183e-02,5.738907456398010254e-01,1.474373191595077515e-01,3.861372172832489014e-02,-3.097523212432861328e+00
4.046368300914764404e-01,8.822423219680786133e-01,2.359651010262585613e-01,5.738106369972229004e-01,1.528705507516860962e-01,3.871940821409225464e-02,-3.140502691268920898e+00
4.046292006969451904e-01,8.822214007377624512e-01,2.829720992984982586e-01,5.737927556037902832e-01,1.538809686899185181e-01,3.874428570270538330e-02,-3.149786710739135742e+00
4.046314358711242676e-01,8.822324872016906738e-01,2.611248316194081931e-01,5.737999081611633301e-01,1.534424722194671631e-01,3.873214125633239746e-02,-3.145553588867187500e+00
4.046589136123657227e-01,8.823557496070861816e-01,1.743684692688195204e-02,5.739070177078247070e-01,1.462047845125198364e-01,3.859270736575126648e-02,-3.088753223419189453e+00
4.046538174152374268e-01,8.823181986808776855e-01,8.451842077115984120e-02,5.738739967346191406e-01,1.486253738403320312e-01,3.863481059670448303e-02,-3.106138229370117188e+00
4.046588540077209473e-01,8.823654651641845703e-01,8.498425687508320879e-04,5.739151835441589355e-01,1.455387175083160400e-01,3.858269006013870239e-02,-3.084252119064331055e+00
4.046546220779418945e-01,8.823233842849731445e-01,7.484911480105106707e-02,5.738784074783325195e-01,1.482959389686584473e-01,3.862902149558067322e-02,-3.103713750839233398e+00
4.046568274497985840e-01,8.823428153991699219e-01,3.978183212184609185e-02,5.738953351974487305e-01,1.470418125391006470e-01,3.860746324062347412e-02,-3.094690561294555664e+00
4.046249985694885254e-01,8.822122216224670410e-01,3.027431294949645135e-01,5.737855434417724609e-01,1.542653292417526245e-01,3.875498846173286438e-02,-3.153493881225585938e+00
4.046502411365509033e-01,8.822939991950988770e-01,1.316372892970952557e-01,5.738528966903686523e-01,1.501222401857376099e-01,3.866182267665863037e-02,-3.117557048797607422e+00
2.166858464479446411e-01,1.467105150222778320e-01,3.363366409371196242e-01,2.822958528995513916e-01,3.079678118228912354e-01,6.606600880622863770e-01,-3.185460567474365234e+00
4.046456217765808105e-01,8.822723031044006348e-01,1.752951772444481249e-01,5.738338828086853027e-01,1.513609737157821655e-01,3.868638724088668823e-02,-3.127551078796386719e+00
4.046393036842346191e-01,8.822486996650695801e-01,2.251235620181187558e-01,5.738146305084228516e-01,1.526158004999160767e-01,3.871279954910278320e-02,-3.138268232345581055e+00
