evaluation,mae
2.000000000000000000e+00,3.065214093923568583e+00
1.000000000000000000e+01,3.064765161871910060e+00
2.000000000000000000e+01,3.076058751940727198e+00
3.000000000000000000e+01,2.700241641998291087e+00
4.000000000000000000e+01,1.033877258300781143e+00
5.000000000000000000e+01,7.072703361511230302e-02
6.000000000000000000e+01,1.905007553100585838e-01
7.000000000000000000e+01,2.580909347534179887e-01
8.000000000000000000e+01,3.579484462738037331e-01
9.000000000000000000e+01,3.641958618164062300e-01
1.000000000000000000e+02,2.768385124206542702e-01
