evaluation,mae
2.000000000000000000e+00,3.202586470022797727e+00
1.000000000000000000e+01,2.092941637039184677e+00
2.000000000000000000e+01,2.559430265426635653e+00
3.000000000000000000e+01,1.253687095642089799e+00
4.000000000000000000e+01,1.961261177062988414e-01
5.000000000000000000e+01,2.265926361083984431e-01
6.000000000000000000e+01,2.390072345733642578e-01
7.000000000000000000e+01,2.367108631134033081e-01
8.000000000000000000e+01,2.467707347869873002e-01
9.000000000000000000e+01,2.497028923034667891e-01
1.000000000000000000e+02,2.620588397979736195e-01
