evaluation,mape
2.000000000000000000e+00,8.373152857544086114e-01
1.000000000000000000e+01,5.564539294092928357e-01
2.000000000000000000e+01,4.329310768657347874e-01
3.000000000000000000e+01,2.765970888518797244e-01
4.000000000000000000e+01,1.973807924685354598e-01
5.000000000000000000e+01,1.416923904707720339e-01
6.000000000000000000e+01,9.033997257530078373e-02
7.000000000000000000e+01,5.537262945744775289e-02
8.000000000000000000e+01,3.195915038790390211e-02
9.000000000000000000e+01,1.208696419626236265e-02
1.000000000000000000e+02,5.062576243973560160e-03
