environmental,controllable,controllable,environmental,controllable,environmental,output
7.349901199340820312e-01,3.633347153663635254e-01,8.002620935440063477e-01,6.995881795883178711e-01,2.197208404541015625e-01,6.652895808219909668e-01,-3.509240746498107910e-01
6.818727254867553711e-01,1.506714671850204468e-01,4.023828506469726562e-01,1.313109099864959717e-01,3.046765327453613281e-01,7.614651918411254883e-01,-1.213286519050598145e+00
8.777219653129577637e-01,3.117135465145111084e-01,7.593080401420593262e-01,3.880814611911773682e-01,2.613125741481781006e-01,7.309677600860595703e-01,-7.924480438232421875e-01
8.305138945579528809e-01,1.458015590906143188e-01,3.583138883113861084e-01,4.905978441238403320e-01,3.047444224357604980e-01,5.014134049415588379e-01,-5.560499429702758789e-01
9.585372209548950195e-01,1.476102322340011597e-01,3.682813346385955811e-01,5.422335267066955566e-01,3.043855428695678711e-01,5.890684127807617188e-01,-3.133492767810821533e-01
6.028957962989807129e-01,1.473162770271301270e-01,3.888177871704101562e-01,2.669254839420318604e-01,3.052507042884826660e-01,7.162964344024658203e-01,-1.977244257926940918e+00
2.875192761421203613e-01,3.374621570110321045e-01,7.583307027816772461e-01,7.703312635421752930e-01,2.469104379415512085e-01,6.620708703994750977e-01,-3.845340609550476074e-01
1.662962436676025391e-01,1.573207378387451172e-01,4.911078214645385742e-01,5.645467042922973633e-01,3.102553486824035645e-01,7.113816142082214355e-01,-1.506965756416320801e+00
1.582030951976776123e-01,1.520407348871231079e-01,5.072121024131774902e-01,1.184327751398086548e-01,3.191017210483551025e-01,5.941149592399597168e-01,-2.624633789062500000e+00
4.560427665710449219e-01,1.470260471105575562e-01,4.165040850639343262e-01,4.124580323696136475e-01,3.068839609622955322e-01,5.749268531799316406e-01,-2.157611370086669922e+00
9.249500036239624023e-01,1.458006799221038818e-01,3.557292222976684570e-01,5.537061095237731934e-01,3.047041594982147217e-01,4.380345642566680908e-01,-2.356360405683517456e-01
2.230016589164733887e-01,1.532256752252578735e-01,5.060849189758300781e-01,1.015495285391807556e-01,3.176315724849700928e-01,6.436160206794738770e-01,-2.566110372543334961e+00
7.266755104064941406e-01,1.457113027572631836e-01,3.641187548637390137e-01,3.561077117919921875e-01,3.049214184284210205e-01,5.445371866226196289e-01,-1.241207718849182129e+00
4.897420704364776611e-01,1.563357263803482056e-01,4.513427913188934326e-01,6.026737093925476074e-01,3.055085241794586182e-01,7.196879386901855469e-01,-9.316017627716064453e-01
8.105497807264328003e-02,1.488823890686035156e-01,4.820269644260406494e-01,3.764075934886932373e-01,3.134285509586334229e-01,4.729714989662170410e-01,-2.188637495040893555e+00
3.690445721149444580e-01,1.485624909400939941e-01,4.441208243370056152e-01,4.498446583747863770e-01,3.087591230869293213e-01,5.068839192390441895e-01,-1.909166693687438965e+00
7.492574453353881836e-01,1.496545970439910889e-01,3.996551036834716797e-01,3.221184713765978813e-03,3.049108684062957764e-01,6.563546657562255859e-01,-6.110657453536987305e-01
1.006186828017234802e-01,1.501580625772476196e-01,5.005400180816650391e-01,1.892159283161163330e-01,3.177875578403472900e-01,4.889559447765350342e-01,-2.431254625320434570e+00
6.378173828125000000e-01,1.459105759859085083e-01,3.758007884025573730e-01,3.229262530803680420e-01,3.052764236927032471e-01,5.433928370475769043e-01,-1.636495232582092285e+00
3.306872844696044922e-01,1.494987905025482178e-01,4.733473360538482666e-01,2.477959543466567993e-01,3.121052980422973633e-01,4.181589484214782715e-01,-1.967615723609924316e+00
5.412812232971191406e-01,1.517148613929748535e-01,4.283823966979980469e-01,6.666145324707031250e-01,3.059431016445159912e-01,6.228511929512023926e-01,-5.515416860580444336e-01
7.974059581756591797e-01,1.454784423112869263e-01,3.605768680572509766e-01,2.111663371324539185e-01,3.048734366893768311e-01,4.657610654830932617e-01,-7.992126941680908203e-01
9.318177103996276855e-01,1.468168497085571289e-01,3.633347153663635254e-01,3.347357511520385742e-01,3.045600354671478271e-01,6.274647712707519531e-01,-6.775712966918945312e-01
3.765662908554077148e-01,1.510993391275405884e-01,4.479817152023315430e-01,5.290113091468811035e-01,3.074599504470825195e-01,6.989786624908447266e-01,-1.653747439384460449e+00
1.816234439611434937e-01,1.959071159362792969e-01,5.668541193008422852e-01,6.601757407188415527e-01,3.056721091270446777e-01,7.290545105934143066e-01,-8.401058316230773926e-01
2.764408588409423828e-01,1.530914753675460815e-01,4.731020629405975342e-01,2.589804828166961670e-01,3.094050288200378418e-01,7.677303552627563477e-01,-2.958172082901000977e+00
2.266856729984283447e-01,1.598009467124938965e-01,4.886118471622467041e-01,5.070201754570007324e-01,3.082722127437591553e-01,7.788284420967102051e-01,-1.822345852851867676e+00
3.409865498542785645e-01,1.536037027835845947e-01,4.560713469982147217e-01,4.212794601917266846e-01,3.071103394031524658e-01,7.886453270912170410e-01,-2.269986867904663086e+00
